,IL1L,BWM-DR06,IL2VR,IL2VL,BWM-VL05,CEPVR,CEPVL,OLQVL,BWM-VL06,SAADR,RIH,RIR,SMBVR,AIAL,BDUL,BDUR,RID,RMED,RIGR,AIYR,SIAVR,SIAVL,SIADL,SMBDL,SMBDR,AIBR,RIMR,RIBR,RICR,AVBR,SAADL,AVL,BWM-VL07,BWM-VR01,BWM-VR04,BWM-VR02,BWM-VR03,BWM-VL02,BWM-VL01,BWM-VL03,AWCL,AWBL,ASIL,AWAL,URADL,IL1DR,URYDR,OLQDR,URYDL,IL1DL,URBL,OLQDL,URYVL,URAVL,URAVR,IL1VL,IL1VR,OLQVR,RIPR,URYVR,RMER,BWM-VR05,BAGR,BAGL,BWM-DL05,BWM-DL06,RMDVR,RMEL,RMDVL,SMDVR,AVAR,SAAVR,RMDR,RMEV,CEPDR,CEPDL,AVAL,RMDL,URXL,AVEL,AFDL,ADFL,SMDDR,SIBVL,SMDDL,AWBR,ASHR,ASKL,RIAL,SMDVL,RMDDR,AWCR,ADFR,AVER,SIBDR,RMDDL,RIAR,AFDR,SAAVL,ASKR,SIBVR,ADLR,AWAR,AIBL,ASHL,AUAL,AUAR,AIAR,SIADR,ASGR,ASER,ADLL,AVHR,ASGL,ASJL,RIBL,ASEL,AVBL,BWM-DR07,AVJR,RIVR,AVDR,RIVL,AVJL,AIMR,AIZR,AVHL,RIML,FLPR,RIS,AVDL,RICL,AINR,AIML,RIFR,RIFL,ADER,AIYL,FLPL,AIZL,AINL,ADEL,AVKL,AVKR,ADAR,ADAL,RMGR,RMGL,RIGL,SIBDL,ASJR,ALMR,ALML,BWM-VL08,BWM-DR04,BWM-DR02,BWM-DL02,IL1R,BWM-DR01,URBR,RIPL,URXR,BWM-DL01,SMBVL,BWM-VR06,BWM-VR08,BWM-DR03,BWM-DR05,BWM-DR08,BWM-DL08,BWM-DL03,BWM-VR07,URADR,OLLL,IL2L,BWM-DL04,PVQR,PVPR,ALA,IL2DL,BWM-VL04,ASIR,OLLR,IL2DR,IL2R,PVT,PVPL,PVQL,PVCL,DVC,DVA,PVCR,PVR,Glia,Fragment1,excgl,SABD,DB1,DA1,Fragment2,CANR
IL1L,0,0,0,0,0,0,0,0,0,95640,0,99240,0,0,39960,0,0,5640,0,0,0,34080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225600,0,0,48960,0,27000,0,53760,0,0,0,0,80760,709800,0,0,146040,0,203760,0,0,0,0,946200,0,0,0,0,0,165120,77640,627000,0,0,0,201600,0,0,75120,0,165360,106440,150120,2520,0,11040,65160,0,0,0,0,49560,49920,204480,34680,0,102600,0,339240,54240,0,23280,0,3720,0,0,15960,0,47040,0,0,0,0,5760,77520,0,0,23040,0,0,0,0,0,0,0,85440,32160,0,0,0,71040,0,0,0,22200,20880,0,0,81360,0,0,0,0,0,0,0,0,0,0,0,110280,0,32040,0,0,65400,0,0,0,128520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656640,467040,0,0,0,35040,0,0,0,0,0,0,0,0,26640,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DR06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23880,0,0,0,138600,0,136320,0,0,61320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,0,0,0,0,53640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,0,0,0,0,0,0,0,310800,0,0,0,0,0,0,0,0,0,0,0,0,0,64080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,432840,0,0,0,14160,386160,0,0,0,0,0,0,64800,34200,0,12240,0,0,0,0,0,0,0,56640,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552480,0,582720,339000,626040,168240,111720,0,0,71880,0,0,0,147240,0,0,0,0,0,155880,0,0,0,0,0,0,0,0,0,13920,0,0,0,0,0,0,0,0,0,0,15720,0,41640,0,0,0,19320,0,0,44760,0,0,0,0,12120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23520,0,0,0,0,0,0,0,0,0,0,0,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51720,35040,0,0,0,0,27960,0,0,0,0,0,0,0,0,0,0
IL2VL,0,0,0,0,0,0,423600,246480,0,0,318480,0,0,0,0,0,0,118080,0,0,0,16920,9960,720,0,46920,0,0,33600,0,1200,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211440,677160,0,591000,0,0,0,0,162600,0,50520,0,0,0,840,117000,0,0,0,0,0,199680,0,0,0,0,14400,0,0,0,0,27000,0,0,0,0,33960,0,0,0,0,0,0,0,0,0,0,0,7560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34680,0,0,0,0,0,0,0,0,0,0,0,0,0,43080,0,0,20760,35160,0,0,0,0,0,0,0,0,0,0,318840,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72600,0,0,0,480,27240,0,13320,0,0,0,0,0,0,0,0
BWM-VL05,0,0,0,0,0,0,186360,0,0,0,0,0,0,0,0,0,11640,0,0,0,0,0,0,0,0,0,0,0,9360,0,0,0,36720,0,0,0,0,0,480,735480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192240,0,0,107040,0,0,0,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0
CEPVR,0,0,432840,0,0,0,0,0,0,0,489360,0,312240,0,0,0,0,0,0,5040,64920,0,0,0,16080,25320,0,108360,411960,52800,0,0,0,376080,105720,34680,316800,0,0,0,31800,0,0,0,0,0,0,0,0,0,0,0,0,0,99600,0,484200,36960,88200,999000,39240,250080,0,160800,0,0,0,0,89400,0,0,0,531000,97560,0,0,0,200280,0,230400,0,0,5520,30120,0,0,0,0,77760,379920,546960,45600,0,0,107760,0,816360,42840,0,0,41520,0,0,14880,0,0,53760,2160,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,47520,38040,75840,0,0,0,0,357960,45480,327600,0,0,35160,0,0,0,0,0,22680,0,0,240,0,0,173880,0,0,0,39960,96600,0,0,0,0,0,0,0,298560,0,0,0,0,117120,192600,0,0,0,0,0,24000,0,0,0,0,2280,1560,0,0,0,55080,434880,0,0,0,0,0,0,0,0,0,376560,0,0,81960,0,0,0,0,0
CEPVL,0,0,0,423600,186360,0,0,379920,195480,0,678720,0,0,6000,26160,0,85920,0,0,0,0,0,0,0,0,0,104520,0,237840,0,0,0,0,0,0,0,0,20400,286680,209400,53040,0,47160,0,0,0,0,0,0,0,62760,0,445920,126480,0,421680,0,0,0,0,0,0,101040,0,0,0,195960,0,0,410040,0,0,92160,41160,0,960,0,210720,0,0,4680,0,0,0,3600,0,0,10920,437280,0,0,0,0,211080,0,636600,115560,0,0,0,6120,0,0,2520,0,59880,0,0,0,0,0,0,0,38400,41040,86640,0,0,0,54840,0,51480,0,0,0,0,0,0,0,212880,0,368280,83520,65280,0,48120,0,0,0,0,0,0,0,0,0,32160,0,82440,0,0,0,0,50280,258000,0,0,0,0,0,0,0,0,0,295200,0,0,0,0,0,0,0,0,0,389760,0,0,0,0,0,0,124800,0,0,0,0,0,0,99360,0,0,0,31200,547320,0,0,0,0,0,0,0,0
OLQVL,0,0,0,246480,0,0,379920,244560,40200,0,1047840,29640,0,0,0,0,0,24840,0,0,0,0,0,0,0,5040,0,0,69000,0,0,37800,0,0,0,0,0,0,0,0,0,31200,0,0,0,0,0,0,0,0,0,8040,370800,288480,0,431760,0,0,0,0,0,0,156840,0,0,0,362880,633480,0,0,0,0,0,221640,0,0,0,4920,83160,0,0,40320,0,7920,0,0,0,0,1440,0,0,0,0,52560,0,35280,0,0,0,0,69240,0,0,0,0,0,0,0,0,0,0,0,31680,0,0,80280,0,3840,0,17040,0,61680,0,0,0,0,0,0,0,60240,0,313920,0,0,0,0,0,0,0,3240,0,0,0,0,0,173160,0,0,85800,35880,0,0,31560,0,0,0,0,0,0,0,266160,0,0,337440,0,0,0,0,0,0,0,0,0,183360,362400,0,0,0,0,0,3000,0,0,0,0,63840,34440,0,0,104040,4680,46560,110760,0,0,0,0,0,0,0,0
BWM-VL06,0,0,0,0,0,0,195480,40200,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31560,0,0,1920,0,0,116040,0,0,0,0,94920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21480,0,46200,0,0,0,38640,0,0,0,0,0,0,0,0,0,166080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386640,0,0,0,0,0,0,0,0,0,0,0,11280,0,0,0,0,0,0,0,0
SAADR,95640,0,14160,0,0,0,0,0,0,24000,75120,18360,708000,0,0,0,9960,0,752640,0,0,16560,0,9720,204720,347280,921600,0,25680,0,369360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,204960,0,0,0,0,0,41520,0,0,131880,0,0,0,0,0,0,0,0,279600,18120,188640,74160,43920,0,0,0,155640,2640,0,114720,0,0,546960,109080,20880,0,0,0,0,583080,104880,0,5160,0,73920,0,64800,0,552600,0,97560,0,0,323880,0,0,0,0,177240,0,0,0,0,0,0,0,0,0,0,3600,0,115080,607800,0,0,72240,6960,817800,0,39240,2280,0,0,0,0,107400,121800,0,89160,0,12240,477960,96120,13920,466440,56760,220800,125040,211440,0,0,0,123120,0,0,0,0,0,0,0,0,0,0,99720,0,0,0,0,0,0,0,2520,0,290160,40440,0,0,0,0,0,0,0,0,0,0,15960,0,0,0,0,8400,30840,0,0,0,431040,0,0,0,0,0
