Cell,Volume_nm^3
IL1L,622904640
BWM-DR06,38289120
IL2VR,353268960
IL2VL,351165120
BWM-VL05,68815680
CEPVR,641471040
CEPVL,596500320
OLQVL,517312320
BWM-VL06,46472640
SAADR,534108960
RIH,1550520960
RIR,983432160
SMBVR,848348640
AIAL,652462560
BDUL,260244960
BDUR,373215360
RID,330195840
RMED,657348000
RIGR,1057571040
AIYR,931313760
SIAVR,333254400
SIAVL,354656640
SIADL,277532640
SMBDL,776229600
SMBDR,680910720
AIBR,1432995840
RIMR,1578070080
RIBR,965831040
RICR,882341760
AVBR,545754240
SAADL,475548960
AVL,579065280
BWM-VL07,9309600
BWM-VR01,472498560
BWM-VR04,202188000
BWM-VR02,398594400
BWM-VR03,370321920
BWM-VL02,409465440
BWM-VL01,452103840
BWM-VL03,282968160
AWCL,996752160
AWBL,437196480
ASIL,432488640
AWAL,371447520
URADL,264253440
IL1DR,477345120
URYDR,341995680
OLQDR,313420800
URYDL,414656160
IL1DL,506122080
URBL,440584800
OLQDL,279045600
URYVL,563961600
URAVL,290341440
URAVR,273013440
IL1VL,608510880
IL1VR,545255520
OLQVR,431871840
RIPR,234264960
URYVR,552186240
RMER,581945760
BWM-VR05,82180320
BAGR,991094400
BAGL,826471680
BWM-DL05,46344480
BWM-DL06,140668320
RMDVR,1283740320
RMEL,510243360
RMDVL,1235933280
SMDVR,995325600
AVAR,488588160
SAAVR,660176160
RMDR,1048594560
RMEV,757337760
CEPDR,445019040
CEPDL,475869120
AVAL,585509760
RMDL,891583680
URXL,631489440
AVEL,498188160
AFDL,427333440
ADFL,576013920
SMDDR,962523360
SIBVL,599561280
SMDDL,1050425280
AWBR,391422720
ASHR,772916640
ASKL,432643200
RIAL,1400921760
SMDVL,1022944800
RMDDR,1058552640
AWCR,934236000
ADFR,556321440
AVER,560202720
SIBDR,453141120
RMDDL,1099492800
RIAR,1496895360
AFDR,442455840
SAAVL,543564000
ASKR,437986080
SIBVR,504356160
ADLR,804014400
AWAR,394571520
AIBL,1311914400
ASHL,849019680
AUAL,782795040
AUAR,897248640
AIAR,647800800
SIADR,294496320
ASGR,305903040
ASER,1035415200
ADLL,643719840
AVHR,316097760
ASGL,293364480
ASJL,526683360
RIBL,1119423840
ASEL,708715200
AVBL,551981280
BWM-DR07,12933120
AVJR,292699680
RIVR,751963680
AVDR,302443200
RIVL,663461760
AVJL,378296160
AIMR,466378560
AIZR,1066653120
AVHL,312474720
RIML,1466866560
FLPR,118155360
RIS,1561788960
AVDL,265005120
RICL,945793920
AINR,718840320
AIML,391283040
RIFR,565234560
RIFL,572404800
ADER,205436160
AIYL,837175680
FLPL,221071200
AIZL,1019524800
AINL,655207680
ADEL,256115040
AVKL,582020640
AVKR,598660320
ADAR,547976640
ADAL,555622080
RMGR,678134400
RMGL,780517440
RIGL,1049872320
SIBDL,427806720
ASJR,626591040
ALMR,266053920
ALML,149712000
BWM-VL08,20865120
BWM-DR04,140022240
BWM-DR02,232392480
BWM-DL02,363534240
IL1R,448850400
BWM-DR01,192632640
URBR,435983520
RIPL,229370880
URXR,650346720
BWM-DL01,220060320
SMBVL,765213600
BWM-VR06,78496320
BWM-VR08,27432960
BWM-DR03,142411680
BWM-DR05,52946880
BWM-DR08,12832320
BWM-DL08,22980000
BWM-DL03,137714400
BWM-VR07,35358720
URADR,264275520
OLLL,812953440
IL2L,361939680
BWM-DL04,136183200
PVQR,661377600
PVPR,428224800
ALA,262965120
IL2DL,326135040
BWM-VL04,170058240
ASIR,448159680
OLLR,705459360
IL2DR,365302080
IL2R,454030560
PVT,708212160
PVPL,413855520
PVQL,621492000
PVCL,300889920
DVC,576322080
DVA,1118832960
PVCR,281727360
PVR,661296000
Glia,0
Fragment1,5284320
excgl,527724480
SABD,58391040
DB1,99571680
DA1,26992320
Fragment2,8507520
CANR,6704160
