,RMGR,AIYR,AIYL,RMEV,AIZL,AIZR,RIAR,RIAL,RIBL,RIH,SAADL,ASGR,AVL,RIR,RIVR,ADFL,RIVL,ADFR,SMBVR,SMBVL,AIAR,PVT,DVC,AVKL,AVKR,ASIR,FLPL,AWAR,AIMR,AIBL,BDUR,SIAVR,SIAVL,BWM-VR07,ASHL,SMDDR,PVQR,RIFR,DVA,PVCR,AWAL,AIAL,BWM-VL07,BWM-VR03,BWM-VR01,BWM-VR02,BWM-VR04,BWM-VL01,BWM-VL04,BWM-VL06,BWM-VL02,BWM-VL08,BWM-VR08,BWM-VR06,BWM-VR05,ASJL,PVQL,AIML,ASGL,RMGL,BDUL,AVBR,BWM-VL03,BWM-VL05,PVCL,AUAL,PVPL,ADLL,AWCR,URBL,AVAL,ALML,AINL,ADLR,AVER,AVEL,SIBDR,RIMR,RIML,RIGL,AVHL,AVJL,SMBDR,SAAVL,ASJR,URBR,ASKL,SMBDL,AVHR,AVJR,BWM-DL06,URYVR,ASER,URXR,BWM-DL07,BWM-DL05,BWM-DL02,BWM-DL04,BWM-DL08,ALA,BWM-DR08,BWM-DR03,BWM-DR07,BWM-DR01,BWM-DL01,BWM-DR05,BWM-DL03,RIS,AVAR,AWCL,RIBR,OLQDR,BWM-DR06,BWM-DR02,BWM-DR04,SIADL,RMEL,URYDR,URYDL,IL2DR,OLQDL,SMDDL,SMDVR,IL2R,IL1L,IL1DL,IL2DL,URADL,IL1VR,IL1DR,RIPL,URADR,URAVR,OLQVR,IL2VR,URAVL,IL1VL,IL2VL,OLQVL,IL1R,OLLL,OLLR,IL2L,RMED,RMER,CEPDL,URYVL,RIPR,URXL,CEPDR,RMDVL,RMDVR,RMDR,RMDL,SIADR,SIBDL,ALMR,AINR,SIBVL,BAGL,BAGR,CEPVR,CEPVL,SIBVR,RID,RICR,RICL,AVDL,AVDR,RIFL,AUAR,ASIL,PVR,AIBR,ASHR,ADAR,AVBL,RIGR,ADAL,AFDR,ASEL,AWBL,AWBR,PVPR,RMDDR,SAADR,SAAVR,ADEL,ADER,SMDVL,RMDDL,AFDL,ASKR,FLPR,CANR,CANL,DB1,excgl,excduct,SABD
RMGR,0,0,0,0,0,0,79104,13568,0,0,159744,0,12288,0,0,0,50432,0,283136,0,22016,0,71424,558848,501760,0,0,38656,289536,326400,286464,0,0,0,0,566784,1004288,872960,149248,0,0,0,0,0,0,14592,239360,0,0,0,0,0,24832,274688,0,0,0,0,0,0,0,81664,0,0,0,0,0,0,0,0,0,0,0,48640,143104,0,198912,0,103424,0,0,50176,287232,149248,88064,0,0,0,0,0,0,0,0,346368,0,0,0,0,0,0,0,0,0,0,0,0,0,158976,72960,0,0,0,0,0,0,165888,0,0,0,0,0,330240,0,185856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41984,0,0,0,0,0,0,0,0,0,0,62720,770816,897280,2904064,68864,8704,202752,0,145152,0,0,12800,0,49408,0,214016,26624,33536,0,0,0,0,228608,0,135168,117248,10496,358656,0,0,0,0,244992,1792,0,301824,314368,0,0,710656,0,0,149504,0,0,0,0,66304,0,0
AIYR,0,0,140288,0,6656,1243904,815872,0,0,439808,0,29184,0,266752,101888,7680,0,910080,387072,0,93440,0,0,0,0,423168,0,367616,0,0,0,0,0,0,0,0,0,112128,0,200192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108288,0,0,43520,18688,0,0,474624,0,0,0,48128,3072,0,5888,229376,116480,0,0,41216,347392,7168,0,0,0,0,0,0,32256,0,0,1720832,131584,0,0,0,0,0,0,0,0,0,0,0,0,0,479488,0,265984,1130240,0,0,0,0,0,0,0,0,0,0,0,0,76032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55552,0,1381120,140544,0,0,0,0,0,0,0,0,0,1636352,0,0,292096,94976,0,46848,0,0,2198016,881152,9472,528896,0,0,0,0,0,0,0,0,30976,0,66816,0,0,0,0,0,0
AIYL,0,140288,0,41216,1155328,23552,0,792576,1140736,575232,0,0,0,382976,0,1513472,0,0,0,168960,0,0,0,0,0,8448,0,0,0,389888,0,0,0,0,37632,0,0,0,0,5632,404992,195840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,52992,45056,0,0,78592,0,0,84480,1552128,0,0,1308672,0,0,0,16640,0,0,0,0,0,191232,0,0,0,88064,0,0,0,0,0,0,489472,0,0,1181696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,717056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18944,6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89856,0,0,0,0,0,0,211456,0,125952,0,119808,300544,0,0,0,0,0,0,0,50176,162048,0,555264,0,26880,0,0,69632,0,0,22016,1278464,807168,0,0,0,0,0,0,0,0,0,2365440,0,0,0,0,0,0,0,0
RMEV,0,0,41216,13312,0,3584,0,256,482048,1008384,0,0,629248,815104,0,0,0,0,85504,128768,0,511744,80640,21504,2816,0,0,0,0,0,0,0,44288,0,145152,13312,0,0,0,0,0,0,0,136960,58112,0,0,81152,0,0,2048,0,0,0,71424,0,0,0,0,0,0,0,183552,39680,0,152832,0,0,0,0,0,0,1536,0,65792,101888,0,19712,70912,261376,0,0,0,0,0,0,0,0,13824,0,0,612096,0,0,0,0,0,0,0,0,0,29952,0,127232,468736,0,37120,1484032,0,0,416256,69120,0,0,0,0,2219776,67072,177152,87552,36864,8704,268032,519936,18432,261632,69888,359936,367872,101632,182016,201472,295424,0,200960,227328,171776,291584,126208,25856,738816,1050624,438272,4494080,1878016,0,683520,112128,0,0,300800,238848,0,0,0,97536,0,0,0,0,0,768,72704,117760,91904,0,0,0,0,0,0,0,0,33536,0,0,135936,288768,0,0,0,0,0,0,688640,0,0,0,0,296448,572160,0,0,0,0,0,0,0,0,0
AIZL,0,6656,1155328,0,0,807680,0,1470208,603392,580608,0,0,0,540928,0,1897984,0,4864,0,1150464,0,0,343296,768,214784,0,0,0,0,86272,0,0,0,0,519168,0,0,0,786176,0,473088,814080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44544,134656,0,0,0,0,0,0,245504,0,0,595456,0,30976,0,0,0,323584,1522688,1536,0,1856512,1047040,0,0,119296,0,0,0,0,654592,668416,0,0,0,652288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58368,0,0,0,0,0,244480,0,0,11264,0,18944,0,0,0,0,32256,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,8960,0,0,0,0,0,0,272384,0,0,0,0,226816,0,0,0,227840,0,66560,33792,101632,0,48640,0,0,1028608,0,0,132608,128000,26368,0,256512,969728,0,0,0,0,0,0,0,0,0,407040,0,0,0,0,0,0,0,0
AIZR,0,1243904,23552,3584,807680,0,1805568,0,0,909312,0,113664,0,465920,0,2560,0,1659392,1509888,216832,454400,0,160256,155136,0,2048,0,629504,28928,543488,0,0,0,0,0,0,768,0,705280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129792,0,0,0,0,0,0,43776,0,0,0,0,0,1260032,505600,212992,1423104,0,22016,522752,0,918272,0,0,0,0,155136,0,0,0,34304,280832,11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146176,905984,0,0,0,0,0,0,25088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190464,0,0,0,157952,749824,0,0,0,0,0,151552,0,6400,26624,0,443392,0,0,102144,311296,91648,0,839936,107520,548864,590336,0,606976,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,142848
RIAR,79104,815872,0,0,0,1805568,0,2853120,0,692224,0,0,0,323584,384512,0,334080,334848,181504,0,0,0,0,0,0,0,0,1536,0,56832,0,101120,332544,8704,0,1189888,0,0,0,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,0,0,0,0,0,0,0,0,0,0,168192,0,21504,0,0,44288,96512,196608,0,0,0,0,120320,83456,0,8192,0,0,0,0,0,79872,0,963328,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,625920,90624,1238784,0,0,0,0,46848,0,0,0,0,0,791040,1124352,0,12544,0,0,0,18432,0,0,0,15104,16128,53760,0,0,0,0,158976,0,0,0,0,0,18176,0,0,0,906752,1523712,2305024,1168384,2118400,192000,0,0,0,0,1149952,0,1091584,129536,109824,0,0,24064,0,0,0,572928,0,0,0,221696,44544,0,317952,0,3328,0,0,0,0,2580480,43776,225280,0,0,1264896,1582592,0,0,0,0,0,0,0,0,0
RIAL,13568,0,792576,256,1470208,0,2853120,0,1035008,854272,115968,0,0,381696,709376,480000,503040,0,0,125184,0,0,0,0,27904,0,0,0,0,0,0,317952,119040,0,122112,1346304,0,0,4096,0,0,0,0,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,31488,0,0,0,0,0,610560,1536,0,38912,49664,438272,0,0,0,88832,0,0,0,247296,261376,0,0,0,384768,0,0,0,76288,0,0,0,0,40448,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,0,204032,0,0,0,0,0,0,162048,0,0,0,0,0,1547264,1546240,0,258816,0,0,0,0,0,0,0,0,0,0,78592,43008,110848,9984,42496,0,0,0,0,0,693248,34816,0,910848,46336,2420736,1815808,1817344,801536,32512,98560,0,28672,86272,0,934912,110592,787968,0,0,17408,0,0,0,0,0,3840,0,89088,0,0,0,0,78336,0,0,0,0,0,1457920,0,58112,0,0,1491968,2636800,4608,0,0,0,0,0,5888,0,0
RIBL,0,0,1140736,482048,603392,0,0,1035008,0,247808,0,0,268544,0,0,159488,71680,0,0,0,0,194048,273408,26368,0,0,0,0,0,0,0,0,67072,0,0,621824,0,0,6144,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15616,0,0,0,0,0,134400,0,0,0,1364480,0,0,0,0,290048,0,107520,0,1271296,283136,0,104448,575488,203008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696768,0,125184,243456,0,0,0,0,215552,405504,0,457472,0,336384,172288,579584,0,0,92416,47360,1536,32000,0,0,0,0,0,0,228864,3584,39424,207360,0,652032,47616,0,198912,0,157952,668928,0,186880,0,54784,0,82944,0,37632,276992,0,258048,169216,373504,1167360,0,177664,138496,85248,0,0,0,83200,0,0,35840,0,388608,0,0,95232,0,0,0,0,416256,0,0,0,33536,0,0,0,15360,0,0,0,0,0,0,0,0,0,0
RIH,0,439808,575232,1008384,580608,909312,692224,854272,247808,0,0,0,157440,669696,452096,71936,322560,60160,11008,23808,0,0,178432,0,0,0,1245184,0,0,31744,0,0,0,0,0,0,0,0,142848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96512,37632,0,0,0,0,61696,0,0,0,51200,0,0,0,0,354048,0,0,0,269312,0,0,0,385536,8448,468480,0,704512,0,105984,0,0,0,0,0,0,0,0,0,0,0,0,0,115712,413696,0,169472,1264384,0,0,0,768,872192,78848,357632,956672,1303552,0,0,310016,0,22272,916992,33792,26368,0,1045248,5888,0,1729536,708864,87296,512,799744,1729280,0,33024,0,761088,911360,688896,589056,122368,731392,28416,427776,768,0,0,0,0,0,0,5376,339968,227840,179712,1155584,1024512,47104,0,0,258560,0,0,0,0,0,0,16128,0,84992,0,250368,102656,0,0,0,0,0,0,0,108800,258560,357376,342272,0,0,0,854528,0,0,0,44544,0,0
