,ASER,BWM-DL02,BWM-DL04,BWM-DL06,FLPR,BWM-DL01,BWM-DL05,BWM-VR08,BWM-DL07,BWM-DR07,BWM-DR05,BWM-VR04,URYVR,BWM-DR03,BWM-DR01,BWM-DR06,BWM-DR08,SMBDL,BWM-VR02,SMDDR,URYVL,URAVL,BWM-DR04,BWM-DR02,IL2VR,IL1DR,RIPR,OLLR,OLQDR,URADR,URYDR,AVHL,CEPVR,IL1VR,BWM-VL03,URBL,CEPDR,BWM-VL08,URXR,BWM-VL04,RID,RIR,ASKR,AVAL,BWM-VL02,RMDL,SIBDR,RIGL,ALMR,AVDR,AVKL,RMEV,AVL,SIBDL,RIS,CEPVL,RMDR,RIBR,OLLL,RIML,RMEL,SAAVR,SIAVL,ADAR,PVT,RIPL,AVAR,BDUL,SIADL,SMDDL,excgl,AIML,BAGL,SMBVL,AIYL,RIFL,BWM-VR01,RMER,SMDVR,ADAL,SIBVL,RMDVR,AVKR,AVHR,PVPL,ASHL,AIZL,AVBR,AVBL,ASGL,ADFL,AWAL,BWM-VR03,AUAL,ASJL,RIBL,ASIL,ASKL,AIBL,AFDL,SABD,AWCR,RIMR,ASIR,AVJR,AUAR,OLQVL,ADFR,DB1,RIGR,AIZR,ASGR,URBR,SAAVL,IL1DL,SMBVR,AVJL,RIFR,BDUR,RMGR,AIMR,RICR,PVR,DVA,SMDVL,PVCR,PVCL,IL1R,FLPL,ADEL,ADER,DVC,SIADR,SIAVR,PVPR,RIH,PVQR,AWBL,SABVL,SABVR,IL2R,RIVR,BWM-VR07,RMDDR,IL2DR,AIBR,IL1VL,RMED,SAADR,RIAR,RICL,RIVL,BWM-VL07,SAADL,AINR,AINL,RMDDL,RIAL,BWM-VL05,CANL,ADLL,AVEL,BWM-VR05,AVDL,IL2VL,ALML,SMBDR,AWCL,ASEL,ALA,AVER,ADLR,CANR,AIAL,ASJR,PVQL,AIYR,RMDVL,AIAR,AWAR,BWM-VR06,IL1L,RMGL,IL2L,AWBR,AFDR,ASHR,URAVR,URADL,OLQDL,URYDL,IL2DL,CEPDL,URXL,BAGR,OLQVR,BWM-VL01,BWM-DL03,BWM-DL08,BWM-VL06,SIBVR,Fragment1,Fragment2,Fragment3,Fragment4
ASER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,11880,2040,0,0,0,0,0,1800,0,75960,0,84120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,15120,0,0,0,555120,0,0,0,0,0,0,0,0,0,0,0,305640,0,0,0,0,158880,0,0,0,0,502680,0,514920,605400,33840,985920,0,510840,0,0,0,115320,0,0,277800,408120,0,60240,5160,5400,0,218640,0,0,25560,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,336840,29040,0,0,0,0,0,0,0,1389720,0,0,0,0,0,1560,0,0,476880,840,0,12600,0,0,0,0,0,0,0,0,0,655440,209160,0,0,619560,0,137160,147720,0,1196760,0,413040,1753680,0,0,0,0,394080,53760,390240,0,0,6120,0,480,0,0,242640,0,0,0,0,0,0,0,0,0,0
BWM-DL02,0,0,1388400,0,0,693960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183240,0,0,0,278640,0,0,0,0,958920,94920,0,0,0,0,0,2520,0,0,0,16680,210360,0,1560,0,2760,0,0,0,0,147600,0,0,0,0,0,0,0,0,0,0,0,826080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23400,0,0,0,0,0,0,0,0,0,0,129600,0,0,0,191160,0,0,0,0,0,0,651360,0,0,25680,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DL04,0,1388400,0,559200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252720,0,0,0,19440,0,0,0,0,0,199320,0,0,0,0,0,0,0,0,0,0,235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,63840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173880,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129960,0,0,0,0,0,0,0,0,0,0,4920,0,0,0,6000,57600,0,0,0,0,0,0,0,0,0,486000,0,0,0,0,0,35280,0,0,0,0,0,0
BWM-DL06,0,0,559200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114480,0,0,0,0,0,0,0,0,0,345480,0,0,0,0,0,244560,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37440,0,0,0,0,0,0,0,0,2040,0,114000,0,0,0,0,0,0,0,0,71520,0,0,286560,0,0,0,0,0,0,0,0,0,0,0,0,36480,0,0,0,0,0,0,0,33000,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280,0,0,0,0,41880,0,0,0,0,0,8880,65400,99720,24240,0,0,0,83640,10440,0,231240,352560,0,443760,196080,64080,66360,5520,77760,0,1097160,74160,0,0,0,0,9000,0,0,0,7080,0,0,0,9480,0,94560,0,0,0,0,0,0,0,0,0,82920,0,102480,0,0,95280,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49320,0,28320,0,0
BWM-DL01,0,693960,0,0,0,0,4440,0,117840,0,0,0,0,102240,68760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,0,0,0,0,0,0,245880,0,0,0,0,0,0,0,0,22440,0,0,0,0,40200,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100440,0,0,0,0,0,0,12960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410040,0,0,0,18960,0,0,0,0,0,0,0,0,35160,0,0,0,0,0,0,0,0,0,223680,0,0,0,0,0,0,0,0,0,0,87360,0,0,0,7800,0,0,0,0,0,0,532200,0,1200,31440,141240,0,0,0,0,633960,0,0,0,0,0,0,0
BWM-DL05,0,0,0,0,0,4440,0,0,145920,48360,0,0,0,0,0,0,0,0,0,137400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290880,0,0,0,153840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26280,0,0,0,0,0,0,0,0,0,0,106560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21360,0,0,0,0,783600,0,0,0,0,0,0,0
BWM-VR08,0,0,0,0,0,0,0,0,0,0,0,138480,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,197280,0,0,0,0,0,0,0,0,0,0,0,0,54480,74280,0,0,0,0,0,0,0,0,0,73440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,113760,0,0,0,50040,0,0,3960,0,0,0,0,0,0,0,0,0,0,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DL07,0,0,0,0,0,117840,145920,0,0,37560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207240,26160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22560,0,0,0,0,0,0,7680,0,0,0,0,0,55320,0,0,0,0,0,0,0,0,0,113520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83880,0,0,0,0,144360,0,0,0,0,0,0,0
BWM-DR07,0,0,0,0,0,0,48360,0,37560,0,98400,0,0,103920,27600,0,0,14040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184800,0,0,0,0,0,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10080,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29400,0,0,0,0,0,0,63480,0,0,0,0,0,13320,0,0,0,0,0,0,0,0,0,6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90480,0,0,0,0,0,0,0,21360,0,0,0,0
