,URYVR,IL2VL,RIBL,OLQDR,RIR,BWM-VR07,AIAL,RIMR,AIYR,ASJR,ALNL,BAGL,IL1VR,AFDR,OLQDL,RIS,FLPR,BWM-DR07,PVCL,AVKL,IL2DL,AIBR,SIAVL,IL1DR,URXL,ASKL,ALA,BWM-VL07,SMBVR,DB1,AINR,IL1R,IL2DR,RMGL,BWM-DL04,RIVR,SAADR,SIBDR,URYDL,AIML,IL2VR,BWM-VL08,DVC,RMDR,RIBR,ASER,ADLL,BWM-VR06,BWM-VR04,OLLL,URBL,AVBL,AWBR,AVBR,AVDR,BWM-VL04,ASIL,RMER,AVHR,AIZR,DVA,SMBVL,BAGR,AWCR,BWM-VL02,BWM-DL03,RMHR,BWM-VL03,URADR,IL2L,VB2,OLLR,RMHL,IL1L,BWM-VL01,AVFR,URADL,SAAVR,IL2R,URAVR,PVR,BWM-VR05,ASHR,RMEL,URYVL,URXR,SMDDR,AVKR,AVFL,BWM-DR04,RIPL,RIPR,AWBL,AWAL,BWM-DR06,SIADR,AVAL,BWM-DL06,OLQVL,SMDVL,URYDR,BWM-DL07,RMDL,AWCL,AUAL,VA1,RIH,BWM-DL05,RIVL,ASHL,RIAR,RMDDR,SMBDR,RMEV,RIAL,URAVL,BWM-VL06,SIBDL,IL1DL,AVER,SIAVR,AFDL,RIGL,SAAVL,BWM-VL05,ASEL,SMBDL,CEPDR,RMDVR,AIAR,RIFL,AVEL,ASKR,AIMR,RIGR,SMDVR,CEPDL,ASJL,CEPVL,AVDL,RIFR,SABD,OLQVR,BWM-DR02,SIBVR,ADLR,AWAR,ASIR,SABVL,BDUL,VB1,ASGR,RMDDL,BWM-DR03,AIYL,AVJL,FLPL,IL1VL,AIBL,BWM-VR02,excgl,ADFL,ASGL,SIADL,SMDDL,URBR,SIBVL,RICL,SAADL,ADEL,ADAL,AIZL,CEPVR,RIML,AINL,AVHL,RMED,ADFR,PVQL,PVPR,PVT,PVPL,PVCR,PVQR,ALMR,BWM-DL08,BWM-DR08,ALNR,CANL,AVAR,AVJR,AQR,RMDVL,RMGR,AVM,RICR,BDUR,ADER,ADAR,ALML,BWM-VR08,SDQR,RID,BWM-DR05,AUAR,BWM-DR01,BWM-DL02,BWM-DL01,BWM-VR01,BWM-VR03,AVL,CANR
URYVR,0,0,0,0,44400,0,0,0,0,0,0,78000,1129080,0,0,185880,0,0,16560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64680,75840,0,0,184680,0,193680,0,483480,0,0,0,0,0,0,0,26400,37080,0,0,0,193440,0,17760,136680,0,0,0,0,0,0,0,0,0,0,200520,0,0,0,0,0,0,0,198960,30480,1320,9600,0,0,80880,19200,36840,0,0,0,19680,0,0,0,77760,49440,0,0,365640,0,0,0,0,0,0,1809720,0,0,0,2280,777720,43440,39960,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,457080,0,0,218400,0,0,0,0,54840,840,0,545400,0,6720,59400,0,0,0,0,0,0,0,0,0,13920,0,0,46680,0,0,0,0,0,0,0,100200,58680,0,0,0,0,656760,0,14040,50040,24360,5880,0,22920,139440,0,24120,0,7920,0,0,0,0,0,0,10320,424440,0,0,0,0,0,98280,0,0,0,0,0,99360,0,0,0,28680,22320,118320,0
IL2VL,0,0,0,0,16080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63240,12600,0,78120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359280,0,0,69720,0,83880,0,0,0,0,0,0,89880,0,0,0,0,1560,0,0,960,0,0,0,0,0,386520,54600,0,0,0,0,0,1250880,0,0,0,0,0,0,0,318360,0,0,0,0,0,0,0,280200,0,0,0,0,0,0,284400,51600,579000,0,16800,0,0,0,0,61080,0,0,0,6360,0,0,0,0,0,0,0,0,0,0,0,222480,0,0,0,0,0,13920,0,0,0,0,0,0,0,6480,0,0,0,0,567840,0,0,0,0,0,14280,0,0,17160,51600,0,0,7680,0,0,19440,0,0,122640,0,0,0,41280,2280,0,0,0,0,0,0,0,2880,0,0,0,0,0,32160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIBL,0,0,0,0,7560,0,0,515640,0,0,0,246000,0,0,236400,1977720,0,0,0,90600,0,807240,10920,0,137520,0,0,0,0,0,582600,0,0,47640,0,0,21360,0,360000,0,0,0,276120,220560,181080,0,0,0,0,862200,0,0,0,158280,84360,0,41400,0,0,0,9720,0,1784760,0,0,0,0,0,0,28320,0,91320,0,91680,0,0,0,0,0,0,0,0,0,301560,715680,0,371160,0,0,0,0,0,91800,32520,0,20760,226440,0,163440,168120,0,0,0,90360,2195640,0,244440,0,15120,0,0,0,0,1206360,563280,0,0,55920,0,540720,0,73560,142200,0,0,5400,0,0,0,0,0,228480,0,0,0,475680,6000,18960,52680,0,0,0,0,0,13680,0,0,0,0,0,0,0,0,0,1906080,0,0,0,0,0,0,138480,3120,82920,147120,0,89640,0,0,0,0,1397640,0,813600,4080,0,357960,0,0,0,67080,0,0,0,0,0,0,0,0,0,0,0,1680,0,0,0,0,0,0,0,0,0,101160,0,0,0,0,0,0,0,394200,0
OLQDR,0,0,0,6840,0,0,0,0,0,23760,0,0,0,8520,0,26640,0,0,0,0,0,5040,0,897240,0,0,24480,0,0,0,21120,0,307200,0,0,0,0,0,0,0,0,0,16680,0,40800,10320,0,0,0,0,0,0,0,12120,33480,0,0,607920,12120,0,0,0,4920,13920,0,0,68280,0,130680,0,0,162600,0,0,0,0,0,0,480240,0,0,0,0,0,0,0,0,0,0,0,25560,375600,0,0,0,0,0,0,0,0,1391400,0,0,6240,0,0,1828320,0,0,0,0,114840,0,48600,0,0,0,0,0,0,0,0,0,0,0,3840,476280,476640,101520,1560,0,84240,17400,17280,50880,840,0,0,0,23040,720,0,0,0,239520,15240,0,12120,0,0,0,0,454440,0,0,0,0,0,0,0,0,0,0,1080,2040,123120,0,199440,0,0,0,0,0,0,14400,0,105840,0,0,0,17400,0,0,0,0,0,0,0,0,0,15960,0,0,2760,0,79440,8160,0,53280,0,0,0,0,0,11640,0,0,0,0,0,17040,0
RIR,44400,16080,7560,0,0,0,0,0,87000,0,0,381600,0,57240,0,3840,0,0,0,0,0,148800,0,0,1022760,0,0,0,0,0,0,0,0,0,0,681000,8640,0,0,0,5880,0,255120,0,1200,120,0,0,0,0,0,0,201600,30600,0,0,0,0,626640,603480,1363200,241560,327960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102720,0,149400,1084800,0,2640,0,0,0,0,213960,2160,0,0,0,0,35640,0,0,0,0,0,156480,0,515400,0,965520,46320,390240,0,0,14160,398760,0,0,0,0,63000,0,0,1059120,0,0,97560,3120,0,0,0,7440,32280,0,0,369600,0,0,0,0,35280,2040,0,1680,0,360,0,0,0,0,0,0,0,19800,0,45120,0,0,82560,17760,0,220680,1168800,0,600,32400,0,720,0,0,23400,0,885720,48240,0,0,774000,0,1028760,0,955920,440640,1631880,600,0,0,0,0,0,0,5280,0,1272240,0,0,0,0,0,0,600,0,0,0,69960,0,160320,0,0,0,0,0,464160,0
BWM-VR07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88800,0,0,0,0,0,0,0,45240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89520,0,0,30840,0,45600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240,0,0
AIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,9840,0,0,96720,2604960,0,0,0,0,39120,0,0,121080,0,0,0,0,0,901560,0,0,0,0,0,130920,630840,0,0,0,0,0,5400,0,840,0,412320,0,0,0,0,25320,34920,290040,0,0,0,0,0,0,2160,0,4320,0,0,111840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323880,1318320,0,0,0,0,0,0,0,0,0,1270680,0,0,0,0,0,567600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483600,0,0,0,64560,250800,0,12000,16080,0,0,0,585600,25920,0,0,0,0,0,0,0,5880,0,0,0,0,0,0,0,45120,0,0,0,2328960,0,0,135240,1149720,0,0,0,0,14040,0,0,31440,222240,0,0,87600,0,0,0,560160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMR,0,0,515640,0,0,0,0,0,37920,0,0,13440,0,49440,0,781920,31080,0,26160,419400,0,457800,0,0,0,0,0,0,2760,77160,39360,0,0,37920,125760,238680,1537560,519480,0,0,0,0,0,0,827040,0,0,0,0,0,0,466920,0,503760,127320,100080,0,0,0,1084440,365640,0,0,22800,0,0,35280,0,0,0,0,68400,18360,0,0,0,0,906600,0,0,0,0,927000,0,0,2280,350880,930720,0,0,0,0,0,0,0,212520,732720,1080,0,1177200,27840,0,1654920,0,23280,0,0,0,266400,0,94560,0,69600,11760,0,0,328920,217200,0,606120,162960,0,132000,1814520,0,0,0,0,0,0,0,233640,0,0,540960,1105800,176640,0,37680,205440,381600,0,0,0,120840,0,1320,3840,0,0,0,0,0,0,0,111120,151080,0,1484040,0,0,24840,0,150000,1940880,0,0,137640,1722840,588600,65880,0,0,328920,0,6960,1920,26280,0,8520,0,0,330600,0,0,0,0,0,0,673800,0,8520,5040,0,123840,109080,0,3000,908040,0,0,80400,0,0,475560,0,0,0,0,0,30840,0
AIYR,0,0,0,0,87000,0,0,37920,0,0,0,708720,0,2873160,0,475440,86640,0,0,0,0,566040,0,0,0,0,0,0,43920,428040,87960,0,0,0,0,6120,0,20520,0,0,0,0,0,0,1265400,2189880,0,0,0,0,0,0,507240,0,0,0,0,0,0,1026960,600,0,142800,163680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,198720,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491160,0,0,372840,0,0,0,657840,0,0,0,0,0,0,0,0,0,37080,14280,0,0,0,390360,0,0,0,207600,0,0,39240,148080,0,0,0,0,0,0,55320,0,0,0,0,5400,430560,67440,0,0,0,9000,0,0,0,153360,41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163440,0,0,236280,0,0,0,0,0,50040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854840,0,0,0,0,0,0,0
ASJR,0,0,0,23760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33960,0,97680,524520,0,121320,0,0,4440,3720,0,0,0,0,0,0,50400,0,0,0,0,0,44760,23040,0,0,0,0,0,0,0,360,0,0,0,22320,0,0,0,0,0,0,0,0,0,120,0,0,10080,0,0,0,0,0,0,18360,0,0,0,5520,0,0,51360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17280,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,13680,0,45600,0,0,0,0,0,0,0,19320,0,354840,0,0,666120,1497120,0,0,0,57840,0,0,8400,0,0,0,0,69720,11640,0,0,0,0,150480,0,0,0,0,0,0,0,0,1920,0,0,14640,15840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845720,0,0,0,0,0,0,14160,0,0,390600,0,0,0,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,30480
