,RMFR,RMFL,BWM-VL02,BWM-DR06,BWM-DL03,BWM-VL01,BWM-VL07,AVFR,ADAR,RMDVR,OLQVL,URBR,URXR,CEPDR,RMEV,RICR,RMEL,OLLL,IL1DR,URXL,OLLR,RMER,RIGL,ADEL,AUAR,PVPR,DVA,AVAR,RMDR,FLPR,RMDVL,BAGR,AIYR,SAADR,BAGL,RIPL,RMGL,AIBR,SAAVR,ASHR,BDUR,IL1VR,SIBVL,RMHL,RIMR,RIBR,BWM-DR02,OLQVR,CEPDL,URAVR,BWM-DL07,BWM-DL05,IL2DL,IL1DL,BWM-DL01,RMGR,IL2R,URYDR,ALNL,PVR,URADR,IL2DR,OLQDR,AVDR,URYVR,ALNR,ADER,SDQL,RIAR,IL1R,AVEL,BWM-VL04,BWM-VL08,RIVL,BWM-VR04,BWM-VR02,ADLR,BWM-VL06,ALA,CEPVL,BWM-VL03,IL1VL,AVER,AIZL,RIVR,AVL,CEPVR,BWM-VR05,RMDDR,SAADL,BWM-VR03,BWM-VR01,BWM-VR07,BWM-VR08,BWM-VR06,ALMR,ALML,RMDDL,AVJL,AWBR,ADAL,BWM-VL05,ASIR,SMDDL,RMHR,SIBDR,BDUL,AVDL,SMBDR,AFDL,PVCR,AVHL,SIAVR,SDQR,AIBL,SMDDR,SMBVR,PVT,SIADR,DVC,SIBVR,ASJR,PVQR,ASGR,ASER,RIFR,AWCR,AFDR,FLPL,RIH,AVBR,AWAR,AIMR,AVM,SMBDL,PVCL,AIZR,AIAR,AINL,AINR,AIYL,AVJR,ASHL,AUAL,AWBL,PVPL,PVQL,ASJL,ASGL,ASEL,AWAL,SIBDL,AIML,ASKL,AIAL,SMBVL,SIADL,SMDVR,RIML,ADFL,BWM-DL08,OLQDL,URYDL,BWM-DL06,URYVL,URBL,BWM-DL04,AWCL,RMDL,AQR,URADL,BWM-DL02,RMED,BWM-DR04,BWM-DR08,RICL,RIS,BWM-DR01,BWM-DR07,BWM-DR03,BWM-DR05,RIGR,IL2VL,IL2VR,RIPR,IL2L,IL1L,URAVL,SAAVL,ADFR,AVAL,RID,AVHR,AVKR,AVKL,SIAVL,RIBL,ADLL,RIR,AVBL,ASKR,RIAL,SMDVL,RIFL,ASIL,AVFL,excgl,VB1,SABD,VA3,VA2,DB1,VA1,VB2,CANL,CANR
RMFR,0,85800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10680,0,0,0,0,0,473640,0,0,0,105600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29160,0,0,0,0,0,0,21960,0,0,0,0,0,0,0,0,0,0,156240,1086960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433560,0,0,0,459840,0,0,0,320880,0,69600,42600,13320,527880,936960,145080,408600,0,0,0,0,0,0,0,90480,152280,0,0,0,0,0,15960,0,36840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330480,0,0,0,0,891720,0,0,0,0,0,0,0,0,0,0,0,69840,600,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0
RMFL,85800,14520,0,0,0,0,0,0,0,35400,0,0,0,0,0,0,0,0,0,0,0,0,194880,848760,0,0,161520,3480,0,0,0,0,0,0,0,0,0,0,832920,0,0,0,1897560,990720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53760,0,0,0,0,552360,0,0,0,0,0,0,0,0,0,0,68760,0,0,60840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162480,797400,0,0,0,257280,947760,0,0,66240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372000,151560,134520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139440,0,0,0,0,0,0,0,0,0,0,275040,0,0,0,0,0,0,0,0,0
BWM-VL02,0,0,0,0,0,1168080,0,0,0,469080,0,0,0,0,10440,0,8280,0,0,0,0,1685520,0,0,0,0,0,0,115800,0,1920,0,0,0,0,39840,7440,0,0,0,0,0,0,0,0,0,0,0,39960,0,0,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,4291080,7920,0,0,0,0,31800,0,0,177840,395400,0,0,0,0,0,0,33120,0,0,0,0,0,0,0,0,255000,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14520,0,0,0,212880,0,0,0,0,0,0,0,0,0,0,275880,0,97800,0,1800,2227440,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,632880,1096440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DR06,0,0,0,0,0,0,0,0,0,0,0,0,0,270240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59040,0,0,0,0,0,0,0,0,0,28800,0,0,0,0,0,0,0,8760,0,0,0,0,0,0,0,0,623400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244320,0,0,0,0,0,79080,248040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492120,0,0,0,0,0,0,0,0,0,118920,0,0,0,0,2197560,1260960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DL03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318720,0,6120,0,0,0,0,286080,0,0,0,0,0,0,0,0,26520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330600,0,0,2802120,0,3240,3718080,0,0,0,0,17280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974960,0,0,0,0,0,0,0,0,67440,0,0,0,0,0,0,0,0,0,0,366000,0,0,0,0,0,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27120,96360,0,0,0,0,0,0,0,164880,11760,12720,0,0,19080,0,439920,0,498600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL01,0,0,1168080,0,0,0,0,0,0,415680,18600,0,0,0,36720,0,0,0,0,0,4560,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,74640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414480,4636080,313800,0,0,0,0,0,0,0,0,306840,1116480,0,0,0,0,0,308520,0,0,0,71880,0,111960,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,431760,0,28800,0,0,0,0,0,0,113760,0,0,0,0,0,0,0,358560,0,0,0,0,0,0,0,0,0,68880,0,0,0,0,1061160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL07,0,0,0,0,0,0,0,0,0,127200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375960,0,0,0,0,300480,0,0,0,0,86280,0,0,0,0,0,0,0,69120,0,0,0,1687080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVFR,0,0,0,0,0,0,0,0,269640,0,0,5280,54360,0,0,0,0,1440,7800,274080,2040,0,33000,544200,0,0,432960,297360,0,0,0,0,0,0,0,0,1343040,2040,0,951120,148920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627840,26040,18360,0,0,4440,0,51600,549240,0,0,2400,0,0,9120,0,0,0,0,0,0,289920,0,4800,63960,0,0,0,0,0,0,132600,0,0,146400,0,0,0,0,0,180480,8880,2880,0,0,484800,0,0,14400,0,25920,1263840,22320,0,0,0,5760,0,0,45480,15960,69840,0,480,0,649920,243120,1479840,0,61080,783480,0,0,0,0,346560,619320,611880,0,0,0,0,0,0,0,0,0,487800,0,1080,177960,1612440,384720,0,168600,360120,0,947040,360,5400,375360,0,219960,3960,0,0,5880,960,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,46920,117480,0,0,168600,0,138480,0,223080,19320,0,0,887880,0,3647520,27480,0,0,0,0,0,0,410640,0,0
ADAR,0,0,0,0,0,0,0,269640,0,0,0,485040,706200,96000,0,968400,0,0,0,0,0,0,0,147480,0,789720,1016640,245880,0,315960,0,0,0,516840,0,0,0,150000,0,2444520,0,10800,0,0,3585840,0,0,135120,0,74760,0,0,0,0,0,155040,10440,0,0,0,0,0,0,31920,222360,3000,311880,0,293280,0,175320,0,0,0,0,0,317400,0,0,0,0,0,113520,0,0,0,92280,0,0,0,0,0,0,0,0,746040,0,0,242400,90840,0,0,0,39480,0,415440,0,409680,707640,0,115440,526080,344880,263280,145560,0,180120,0,9600,0,649320,0,135600,0,0,260400,0,0,361320,0,1328520,98040,0,380160,116520,0,303600,254640,0,0,0,0,0,0,0,0,0,0,0,0,0,80400,0,0,0,0,11760,9960,0,0,0,0,0,0,0,0,0,0,0,171000,0,0,0,0,0,911640,0,0,0,0,0,0,0,102240,0,0,0,0,3480,302040,1220400,0,0,0,0,0,0,0,0,560280,152400,0,31920,0,0,0,0,20640,62160,0,62280,0,2640,0,0,0
RMDVR,0,35400,469080,0,0,415680,127200,0,0,0,1504680,0,0,1355400,8520,198480,0,143280,3930000,0,2138760,0,0,0,0,0,66360,87600,771480,0,2442240,0,0,0,0,2640,446760,0,388560,0,0,0,1195920,440880,0,47160,136800,0,223920,0,68640,117600,0,0,0,1001400,0,2580000,0,0,0,53640,245280,0,0,319440,0,0,3033120,1443120,344280,1286400,0,16320,0,0,0,422520,0,182880,1198560,128280,118800,0,450720,0,0,712680,325560,473040,659280,104280,0,0,0,0,0,8260080,0,0,0,1608480,0,14400,263400,18720,0,0,774840,0,0,0,99000,0,0,0,0,0,206760,0,141120,0,0,0,0,0,0,0,0,0,0,0,0,0,18480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700200,0,0,0,1764600,0,228720,840,0,42120,129600,0,38280,811440,65880,5400,0,1046760,0,0,0,2187720,91800,0,129720,0,119400,314880,10560,58560,0,0,0,2280,0,185160,78960,0,0,0,0,0,0,0,2189400,0,0,0,0,0,2343960,0,0,0,0,13200,0,0,0,0,0,0,0,0,0
