,AWBL,SABD,AWBR,CANL,PVDL,CANR,RMFR,SMDDR,SMDDL,SAADR,URXR,RIH,RIGL,ADER,ADEL,FLPR,FLPL,ASKL,AIAL,URAVR,URYVR,IL1VR,RMDR,RMHR,URAVL,PVR,AVM,BWM-DL08,BWM-DL04,BWM-DL05,BWM-DL07,BWM-DL03,BWM-DL01,BWM-DL02,BWM-DL06,AVAL,URXL,IL2VL,IL1VL,RIBL,OLQVL,CEPDL,BWM-DR07,BWM-DR05,AIBR,URBL,URYDR,OLQDR,BWM-DR01,BWM-DR03,CEPDR,BWM-DR06,BWM-DR02,BWM-DR04,AVAR,OLQVR,OLLR,IL2R,IL2L,IL1L,SAAVL,AVJL,AVHL,RIVL,ALNL,SDQL,ALMR,RMDDL,ALNR,IL1R,AINR,AVJR,AVHR,SDQR,SMBDL,CEPVL,RIMR,RMFL,ADAR,BAGL,ASER,BWM-VR08,BWM-VL06,BWM-VL02,RMDVL,SIAVR,AVDL,PVCR,RIFR,BDUR,AVBR,AVFR,AVFL,ASHR,AIAR,ASKR,PVQR,RMGR,ASJR,AIMR,ASGR,PVPR,AVBL,BWM-DR08,URBR,RMDL,URYVL,BAGR,AVKR,AVKL,SIADR,SIBDR,ADFR,AWAR,AWCR,ASIR,AINL,AFDR,AUAR,AIYR,SMBDR,SMBVR,PVPL,AQR,PVCL,SAAVR,SAADL,SMDVR,RMDVR,SIAVL,RMHL,RICL,SIBVR,RID,AVDR,ALML,BDUL,ASHL,ADFL,RMGL,PVQL,AIML,ASJL,AIBL,AUAL,AFDL,ASGL,BWM-VL04,BWM-VL01,BWM-VL03,BWM-VL08,BWM-VL07,BWM-VL05,AVEL,ADLL,AVER,ALA,ADLR,BWM-VR06,BWM-VR02,BWM-VR04,BWM-VR07,BWM-VR05,BWM-VR01,BWM-VR03,AWCL,RMEV,CEPVR,AIZR,RICR,ASIL,DVA,RIGR,DVC,PVT,ADAL,RIML,SIBVL,SIBDL,SIADL,RIR,AVL,RIVR,RIS,SMDVL,RIAR,RIAL,RIBR,IL2VR,URADR,IL2DR,IL1DR,OLLL,RIPR,SMBVL,AIZL,AIYL,AWAL,ASEL,RIFL,RMEL,RIPL,RMED,RMER,RMDDR,URYDL,IL1DL,URADL,OLQDL,IL2DL
AWBL,0,0,142602,0,0,0,0,0,0,0,0,0,58798,0,0,0,0,0,651847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18923,282501,0,0,426455,0,0,0,0,139560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84480,0,0,0,0,0,0,0,0,0,832634,0,109148,0,0,0,0,0,92252,0,0,0,0,0,0,0,0,0,0,316293,70963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34129,0,0,0,0,0,21626,0,0,0,0,0,77721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941107,1979197,98672,0,494714,41564,270673,225392,482887,0,0,0,0,0,0,0,0,1216512,0,0,0,0,0,0,0,0,0,0,234178,0,0,0,0,298045,51025,0,0,0,153077,0,0,0,0,0,0,0,0,0,0,57108,0,0,0,0,0,0,0,1291192,1875118,1045186,3822888,983347,714362,0,0,0,0,0,0,0,0,0,0
SABD,0,0,11489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95969,0,0,0,0,197345,0,0,0,0,31764,0,0,10475,0,37847,0,0,63528,0,177408,0,0,0,0,0,0,0,0,0,0,0,48998,128747,0,73666,0,31088,32102,0,0,116582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72990,104079,0,4392,0,0,0,0,0,16220,0,0,0,0,0,0,68259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,142602,11489,0,0,0,0,0,0,0,0,271349,0,0,0,0,0,0,0,0,0,9799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166256,0,0,0,0,0,0,0,0,0,21288,0,0,0,0,0,0,0,1447649,0,0,0,36833,0,0,0,0,0,0,0,0,0,156794,0,137195,0,949893,0,0,0,0,0,0,0,643737,0,18585,147333,12840,1007339,578856,0,0,357181,206807,454840,0,6758,0,0,0,0,0,0,0,0,0,0,2895298,3822888,432875,472750,0,361912,310548,921845,23654,747479,0,0,0,0,0,0,0,0,0,30074,0,0,0,0,0,227758,33454,0,0,0,0,160849,0,0,0,0,0,0,0,0,0,0,0,0,0,1336473,0,0,0,0,0,0,0,0,0,0,2073477,0,0,47984,81776,0,0,0,0,0,0,0,132126,0,0,0,0,79749,0,384552,0,0,0,0,0,0,0,0,0,274053,337,42240,0,0,0,0,0,0,0,0,0,0
CANL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278108,0,460247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136181,0,0,152064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163215,465315,100024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMFR,0,0,0,0,0,0,0,1013,43929,1364858,8785,1163120,1628098,91238,323727,0,33792,0,0,33454,373401,0,1221242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984698,0,89886,71639,0,0,11489,0,0,0,623124,304803,27033,0,0,0,0,0,0,498769,0,21964,0,0,22302,0,0,0,0,429496,342988,0,683612,691046,0,455178,0,57446,0,0,6082,0,0,5744,0,0,27371,0,0,0,0,0,0,1831526,0,0,0,0,0,0,0,346030,1351,17909,1791989,3112243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760711,2264064,115906,116244,3041,1016801,9799,78397,0,0,0,0,0,0,43253,0,0,0,63528,0,0,0,0,0,0,0,0,0,406517,0,97320,0,0,11827,1013,91576,0,0,0,0,0,0,50350,92928,0,0,10813,599808,2850017,3155496,21626,2670243,938065,0,33116,120299,148008,1084385,50350,0,38522,186531,257157,21964,1351,0,19599,168960,0,10137,0,0,0,0,0,0,0,0,120975,0,0,0,0,0,0
SMDDR,0,0,0,0,0,0,1013,0,462274,1655808,0,0,0,0,484239,66908,0,0,0,0,52377,8785,499107,504852,0,0,0,0,19937,234854,87183,248033,15206,0,27709,1993052,15544,0,0,853923,0,940769,0,0,0,137871,0,0,0,15206,0,0,0,0,377794,0,260198,0,0,17909,5056972,0,0,4398028,1368576,0,0,0,302438,0,0,0,0,56094,0,0,1726433,187545,4730,0,0,0,0,0,412600,5744,0,92252,0,0,0,85831,2703,0,0,0,0,845137,0,0,0,0,0,0,0,435916,0,0,436254,661985,1282068,1335459,0,0,0,0,0,0,0,0,780257,11489,0,0,0,637655,0,437606,0,8785,626841,234516,164567,0,0,2027,0,0,0,329472,9461,35481,37171,1733191,0,0,0,0,41564,12840,0,0,0,43591,0,558243,33792,0,0,0,0,0,36833,122327,45957,0,7772,0,0,973885,0,0,0,675,1013,0,3201454,0,55080,0,0,0,0,4683233,6525911,2897664,3405219,346368,0,0,0,0,994160,0,0,0,0,0,0,0,0,0,1196236,0,1054310,322037,0,0,0,0
SMDDL,0,0,0,0,0,0,43929,462274,0,0,179097,0,0,391311,0,0,0,0,0,0,0,0,564664,807290,0,0,0,0,0,26695,2027,1689,0,0,0,367319,0,0,16896,349747,0,0,0,366981,1598361,0,689018,71976,1689,209172,1046538,6420,0,21288,1744005,0,583587,0,0,0,538644,0,75694,0,36495,10475,0,1054310,1251317,0,200724,74680,204779,97658,373401,0,2983157,0,17571,0,6082,0,0,0,10137,51701,0,0,0,0,0,0,0,0,0,23654,21288,218972,51025,68597,0,0,0,0,188897,405841,9123,0,570408,431861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6244423,1451366,5124556,130437,5406,673136,1230366,0,1689,86169,0,0,0,0,50012,0,0,0,0,0,0,0,0,108134,60149,0,0,3717,463964,0,55418,36833,0,0,0,0,0,0,0,0,0,60149,0,0,1216174,0,0,0,0,0,0,2217431,62853,897853,1550714,0,2027,4261171,1963315,173352,3146373,3643453,1098915,0,0,0,15544,597442,0,154767,0,0,0,0,0,0,0,1390540,0,0,0,0,0,0,0
SAADR,0,0,0,0,0,0,1364858,1655808,0,0,0,164567,238909,0,729907,0,0,0,0,0,185518,1351,0,151726,0,0,0,0,0,0,0,0,0,0,0,1072220,0,0,0,0,0,0,0,0,154767,133140,0,0,0,0,0,0,0,0,445040,0,0,0,69611,0,483225,0,19261,2247505,306155,940769,0,0,1013,0,0,0,0,105431,35481,0,2202224,1898096,271687,20613,0,4392,0,0,710307,58798,0,0,0,0,0,0,0,0,0,0,0,225054,0,0,0,0,0,0,0,0,0,0,27371,277432,1029642,43929,0,0,0,0,0,0,0,0,943472,3830661,0,0,0,26019,1619312,78059,0,0,55756,138885,279459,30074,2365,369684,0,0,0,719431,0,0,0,962396,0,0,0,0,0,0,0,0,0,321024,0,68597,0,0,53729,0,0,87859,12840,0,0,0,0,0,0,85493,0,141926,1146562,0,340623,0,2448906,105768,11489,6420,9461,0,0,918128,2757089,326430,0,0,0,0,0,0,1028966,0,104417,0,0,0,0,0,0,0,0,0,818442,0,0,0,0,0
