,RIMR,RIVL,BWM-DR01,AIML,IL1R,ASJR,RID,BWM-DL03,PVCR,AINL,SAADL,PVNL,IL1VL,ALNR,AWCR,OLQDL,RMHR,SMBVR,IL1VR,IL1L,BWM-VR05,RIGR,RMGL,URAVR,AIZL,AVAR,ASGL,BWM-VR02,RIFL,AVDR,BWM-VR04,PVQL,URYDR,CEPDR,SMBDL,BWM-DR05,AVHR,URBR,IL2L,RIFR,CEPDL,ADLR,RMGR,SDQR,AIYR,SIAVR,BWM-VL06,BWM-VR07,RIML,SAADR,AFDR,BWM-VL01,ASIL,SIBDL,RIBL,BWM-DL02,URXL,SMDDL,RIPL,ASHL,BWM-VL07,SMDVL,HSNR,RMEL,AIMR,FLPR,AVFR,BWM-VL04,ADFL,AWAR,URYVL,RMDVL,RIPR,RMDVR,AIBL,SAAVL,ASEL,RICR,ADEL,RICL,BWM-VL08,RMDDR,AFDL,BWM-DL05,SAAVR,AWCL,BWM-VR06,RMHL,PVQR,AVDL,RIH,SIADL,OLQVR,URADL,IL2VL,AVL,BAGL,RIAR,RIBR,HSNL,AVM,IL1DR,ASKR,IL2DR,SIBDR,URYDL,AVAL,ASKL,AVHL,AIZR,ADFR,ASHR,AUAL,OLQDR,AIAL,PVPR,OLQVL,PLNR,RMED,CEPVR,RMEV,ALML,PVCL,BWM-DR06,BWM-DR02,AIYL,AWAL,SIADR,BDUR,ALA,URXR,ADAL,AWBR,AWBL,IL2R,BWM-DR04,BWM-DR08,RMDDL,ASER,SABVL,RIR,BWM-DR07,BWM-DL01,AUAR,BWM-VL02,RIVR,AIAR,BWM-VL03,AQR,ADLL,CANL,SMBVL,BAGR,SIBVL,AVKR,RMFL,SDQL,RMDL,RIS,IL2VR,RMFR,URAVL,DVA,BWM-DL07,PVT,URBL,SMDDR,ADAR,AINR,IL1DL,ASIR,URADR,SIAVL,BWM-VR03,FLPL,BWM-DL04,BWM-DL08,ALNL,BWM-VR01,URYVR,ASJL,RMER,ADER,PVNR,SMDVR,AIBR,BWM-VL05,RIAL,BDUL,RMDR,SIBVR,ASGR,unknownFLPR,BWM-VR08,SMBDR,IL2DL,DVC,RIGL,OLLL,OLLR,CEPVL,AVKL,PVPL,AVFL,PVR,BWM-DR03,PLNL,BWM-DL06,CANR,ALMR,AVER,AVBR,AVEL,AVJR,AVBL,AVJL
RIMR,0,211920,0,0,0,13680,0,0,960,267840,7524240,0,0,0,122640,0,0,541680,0,0,0,120000,66720,0,57600,2910240,0,0,0,399840,0,0,89040,0,0,0,0,231360,0,3681840,0,0,126960,196320,139680,370560,887040,0,1095600,5550000,12960,0,0,984240,982560,0,0,5551680,0,0,0,3380160,12240,0,0,68880,134160,527280,0,69840,0,0,0,0,6158160,5500080,0,754560,0,1024080,57840,0,0,0,4829520,0,0,180720,0,573120,0,141600,0,0,0,122160,12000,2340960,2317440,0,389040,0,1680,0,1485120,0,5259360,0,219840,5401920,176640,408960,0,0,0,93360,0,0,3120,0,319440,0,0,0,0,0,0,1908240,343200,0,0,170400,8400,0,0,0,0,0,25200,0,0,0,0,479280,0,789120,0,0,1680,0,0,0,0,729840,6197280,2933040,0,8470080,4188960,0,5673600,0,750480,0,0,0,1962960,5661360,0,0,86160,0,0,0,37680,655920,2400,488400,0,60720,0,0,0,0,4193760,686160,0,0,0,1830720,867120,0,0,0,398160,0,0,208800,13920,105600,0,3703680,4320,0,0,0,0,501120,0,0,1705200,2419200,543840,0,1613280,425760
RIVL,211920,0,0,0,0,0,422160,0,0,279840,0,0,0,172080,0,0,1515120,1145520,43920,244320,290400,623520,0,0,0,332880,0,0,0,0,372960,0,97440,22080,566160,0,0,0,113280,0,13680,0,596160,1616640,0,2259840,0,604080,1334160,3062880,0,0,0,720000,191760,0,0,101040,0,0,372000,5028720,0,0,0,0,0,0,0,0,0,992880,0,0,1539600,1187760,0,1199760,2114400,1210320,0,1218480,0,0,525120,0,303600,210240,0,669360,785520,0,0,0,0,40320,116880,568320,0,0,0,0,0,0,465360,64560,1109040,0,785760,0,0,0,396240,0,0,0,0,832080,26400,1200,0,0,2880,0,0,0,0,48000,0,0,0,717600,0,0,0,0,0,0,0,0,546000,0,0,0,0,4104960,0,720,62640,0,0,0,102240,0,137040,940560,71760,1375920,822000,0,1136880,0,0,8160,0,52320,3890400,241440,112080,0,0,0,0,90480,62880,0,0,0,0,14640,0,0,0,0,312480,0,75360,1412640,0,0,0,0,0,76320,1174080,0,1109520,0,61440,0,0,1907520,0,0,1203840,0,0,0,0,0,112320,717360,109440,0,191280,76800
BWM-DR01,0,0,0,0,20880,0,0,714480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54960,643920,802080,417600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70560,102240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178560,0,0,0,0,0,0,0,0,0,0,353040,0,352080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36240,0,619920,0,0,11280,3316080,0,0,0,0,0,0,0,0,0,0,212400,0,600720,0,0,0,16320,881760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982880,0,0,0,0,0,0,0,0,0,47040,0,0,58080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9463920,0,0,0,0,0,0,0,0,0,0
AIML,0,0,0,0,0,309600,0,0,0,0,0,0,0,0,0,172800,0,0,0,0,0,0,2964480,0,672480,0,5657040,0,2136720,19680,0,1292640,0,0,0,0,410880,0,0,0,30240,0,0,0,0,0,0,0,0,0,0,0,16080,0,0,0,3723840,0,0,330240,0,0,561120,0,366240,0,4435440,0,656400,0,0,0,0,0,0,0,0,0,0,984000,0,0,0,0,0,35040,0,0,0,276960,0,0,0,23280,0,0,0,0,0,103920,0,0,0,0,167760,62640,0,1364640,87360,0,0,0,20880,0,2955840,0,0,0,0,0,0,1702800,5280,0,0,1378800,113040,0,157200,9120,0,102240,0,895920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168240,0,0,53760,0,0,225360,0,0,0,0,0,0,0,5037840,0,0,649680,0,0,0,0,165600,0,64560,0,0,0,0,0,0,237840,0,0,805920,39840,0,1836480,0,0,0,0,0,0,91680,381600,117840,64320,313440,211440
IL1R,0,0,20880,0,0,49440,0,0,0,6480,0,0,0,0,38400,0,0,135840,1164720,0,0,0,0,1125600,0,126000,0,337920,0,0,69120,0,0,50880,0,0,0,1492080,0,0,0,52080,266880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4581360,0,0,126240,0,0,0,0,1055040,0,2473680,0,0,182160,0,0,0,0,3089040,0,0,339840,59040,0,709680,0,0,0,0,572640,0,0,0,0,633840,0,0,0,1209120,0,0,34560,0,0,0,0,0,0,0,0,0,0,0,0,0,52560,13680,547440,0,0,0,657840,0,0,0,0,14640,126480,0,0,0,2393040,72480,0,981600,0,0,0,0,0,0,0,84240,0,0,0,0,0,0,197040,0,0,54720,0,793440,0,0,0,0,0,0,0,0,0,0,0,0,120720,698640,0,0,0,0,0,0,30480,0,0,268800,2559600,9360,118080,0,0,164400,0,1093680,0,0,54960,0,0,0,0,0,0,1998000,0,0,0,0,0,0,0,0,0,0,289920,0,249840,0,0,0
ASJR,13680,0,0,309600,49440,0,0,0,0,0,0,0,0,0,48720,0,0,513360,0,0,0,0,0,0,0,0,0,0,0,25680,0,0,21840,0,40560,0,40800,90480,0,35280,0,1200,655920,0,0,0,0,0,0,0,0,0,0,21840,0,0,0,4080,0,0,0,0,1750800,0,5707200,0,2067120,0,0,208320,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,6699840,0,0,24000,0,0,0,0,0,0,46080,623520,0,4560,3647760,0,0,0,0,0,0,0,0,60720,0,27120,0,0,0,0,0,325920,0,0,0,0,0,0,0,0,29280,1616880,0,0,127200,0,136800,0,0,0,869760,0,0,0,0,0,0,0,786960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241440,0,130320,0,0,0,0,0,0,0,0,0,606000,0,70800,11760,0,14160,0,0,0,0,0,278400,610800,0,0,0,0,0,0,57120,0,0,0,607680,0,0,0,0,0,0,0,0,0,3840,0,0
RID,0,422160,0,0,0,0,0,0,0,4054320,246960,13680,0,0,0,78960,0,0,0,83520,0,441840,496320,0,167040,0,101520,0,0,4142640,0,8160,0,0,569520,0,0,0,4560,0,0,0,0,0,0,0,0,0,406080,60480,580560,0,0,861600,695520,0,0,0,5520,1040640,0,201600,0,0,0,0,455040,0,0,0,257280,6720,0,0,0,556080,7680,743520,0,869520,0,0,617280,0,367440,52080,0,398880,0,1810560,0,518400,0,0,0,0,1817520,0,925920,234720,2462640,0,0,0,204000,158640,1496640,0,0,0,0,0,113760,0,0,0,115680,0,867360,0,306480,803760,2989200,0,0,0,0,0,0,0,0,239280,0,0,0,0,0,0,3840,0,0,0,0,0,0,179280,0,0,450480,0,0,280320,3284640,1055520,0,0,669120,0,0,0,0,0,4705440,0,1680,661680,0,0,4401120,0,15600,0,2424720,0,0,0,0,0,0,0,0,0,0,440880,105600,315600,303360,0,1037520,0,3006000,0,0,0,0,0,318480,2517360,7680,0,547680,0,26160,508080,188880,0,98880,0,0,0,0,2646960,66240,1121520,835920,0
BWM-DL03,0,0,714480,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791280,0,0,0,0,507360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128400,0,0,4560,0,0,64320,0,2880,0,0,0,0,0,0,0,111120,0,0,0,0,0,0,0,0,0,1885680,0,10921680,0,0,0,0,0,0,0,0,0,1051200,0,0,0,0,0,0,0,0,0,0,0,165840,0,0,0,0,0,0,0,0,0,0,0,0,105840,0,839520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258000,0,0,0,1680,13914720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971520,0,0,286800,0,0,264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14640,0,0,0,0,0,0,0,0,0,757440,0,0,0,0,0,0,0,0,0,0,1568640,0,0,0,0,0,0,0,0,0,0
PVCR,960,0,0,0,0,0,0,0,0,0,0,364800,0,0,0,0,0,258000,0,0,0,0,0,0,0,1878000,0,0,0,461760,0,0,0,0,0,0,51360,181200,0,90480,0,167520,25920,0,21360,1076880,0,0,0,0,0,0,0,244080,0,0,0,0,0,0,0,30960,0,0,0,506160,0,0,0,0,0,0,0,241200,0,0,0,278640,0,0,0,0,0,0,0,0,0,0,0,2011440,0,0,0,0,0,0,0,0,0,0,2450640,0,0,0,846960,0,137520,0,827280,0,0,0,0,0,0,2660880,0,0,0,20640,0,0,1732800,0,0,0,0,0,240480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167280,0,0,3269520,0,0,0,0,1152960,160800,0,0,0,34080,0,0,0,3464160,0,0,0,0,1440,0,0,0,0,0,0,705840,0,0,0,0,2880,0,0,0,170880,0,0,0,0,302400,0,1297680,0,0,0,34320,0,0,0,0,0,0,0,0,0,76800,0,0,0,0,1430880,88560,5127120,514800,437040,5020320,2104080
AINL,267840,279840,0,0,6480,0,4054320,0,0,0,0,0,0,0,152880,97920,0,0,0,0,0,0,0,0,0,123840,455520,0,0,0,0,0,43920,33120,0,0,0,0,0,0,83760,0,0,0,1292400,0,0,0,0,0,6994320,0,136560,0,1256160,0,461760,0,0,0,0,135840,0,0,0,0,0,0,0,0,0,0,0,0,1037040,12720,2455200,0,1107600,0,0,0,2293440,0,19680,607440,0,0,0,682320,203760,0,0,10080,0,0,3313920,292800,2990160,0,0,91200,0,60240,391440,97920,0,303360,814080,0,0,0,1232880,167040,637920,0,0,0,0,310320,52560,438240,0,0,0,667200,0,302640,0,0,546960,0,24720,0,42240,0,0,0,0,0,0,0,0,5303760,0,365040,30000,0,0,0,0,0,0,0,0,81360,70320,0,0,0,0,0,0,0,0,0,186960,0,2925840,55680,7920,20160,0,0,0,0,0,15360,0,0,51600,0,0,0,57840,160320,0,0,0,0,0,0,0,0,19200,31680,0,1440,0,80160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244160
