class,members,type,integration
ADA,2,inter,embryonic
ADE,2,modulatory,embryonic
ADF,2,sensory,embryonic
ADL,2,sensory,embryonic
AFD,2,sensory,embryonic
AIA,2,inter,embryonic
AIB,2,inter,embryonic
AIM,2,modulatory,embryonic
AIN,2,inter,embryonic
AIY,2,inter,embryonic
AIZ,2,inter,embryonic
ALA,1,modulatory,embryonic
ALM,2,sensory,embryonic
ALN,2,sensory,post-embryonic
AQR,1,sensory,post-embryonic
ASE,2,sensory,embryonic
ASG,2,sensory,embryonic
ASH,2,sensory,embryonic
ASI,2,sensory,embryonic
ASJ,2,sensory,embryonic
ASK,2,sensory,embryonic
AUA,2,sensory,embryonic
AVA,2,inter,embryonic
AVB,2,inter,embryonic
AVD,2,inter,embryonic
AVE,2,inter,embryonic
AVF,2,modulatory,post-embryonic
AVH,2,modulatory,embryonic
AVJ,2,inter,embryonic
AVK,2,modulatory,embryonic
AVL,1,modulatory,embryonic
AVM,1,sensory,post-embryonic
AWA,2,sensory,embryonic
AWB,2,sensory,embryonic
AWC,2,sensory,embryonic
BAG,2,sensory,embryonic
BDU,2,inter,embryonic
BWM01,4,muscle,embryonic
BWM02,4,muscle,embryonic
BWM03,4,muscle,embryonic
BWM04,4,muscle,embryonic
BWM05,4,muscle,embryonic
BWM06,4,muscle,embryonic
BWM07,4,muscle,embryonic
BWM08,4,muscle,embryonic
CEP,4,modulatory,embryonic
CEPsh,4,glia,embryonic
DVA,1,sensory,embryonic
DVC,1,modulatory,embryonic
FLP,2,sensory,embryonic
GLR,6,glia,embryonic
HSN,2,modulatory,post-embryonic
IL1,6,motor,embryonic
IL2,6,sensory,embryonic
OLL,2,sensory,embryonic
OLQ,4,sensory,embryonic
PLN,2,sensory,post-embryonic
PVC,2,inter,embryonic
PVN,2,modulatory,post-embryonic
PVP,2,inter,embryonic
PVQ,2,modulatory,embryonic
PVR,1,inter,embryonic
PVT,1,inter,embryonic
RIA,2,inter,embryonic
RIB,2,inter,embryonic
RIC,2,modulatory,embryonic
RID,1,modulatory,embryonic
RIF,2,inter,embryonic
RIG,2,inter,embryonic
RIH,1,inter,embryonic
RIM,2,inter,embryonic
RIP,2,inter,embryonic
RIR,1,inter,embryonic
RIS,1,modulatory,embryonic
RIV,2,motor,embryonic
RMD,6,motor,embryonic
RME,4,motor,embryonic
RMF,2,motor,post-embryonic
RMG,2,modulatory,embryonic
RMH,2,motor,post-embryonic
SAA,4,sensory,embryonic
SDQ,2,sensory,post-embryonic
SIA,4,motor,embryonic
SIB,4,motor,embryonic
SMB,4,motor,embryonic
SMD,4,motor,embryonic
URA,4,motor,embryonic
URB,2,sensory,embryonic
URX,2,sensory,embryonic
URY,4,sensory,embryonic
