pre,post,classification
ADAL,AIAL,variable
ADAL,AIBL,variable
ADAL,AIBR,variable
ADAL,AIZL,variable
ADAL,ASHL,variable
ADAL,AVAL,stable
ADAL,AVAR,stable
ADAL,AVBL,stable
ADAL,AVBR,stable
ADAL,AVDR,variable
ADAL,AVEL,variable
ADAL,AVER,variable
ADAL,AVHR,variable
ADAL,AVJL,variable
ADAL,AVJR,stable
ADAL,DVA,variable
ADAL,IL2DL,variable
ADAL,OLQVL,variable
ADAL,PVPL,variable
ADAL,RIAL,variable
ADAL,RICL,variable
ADAL,RICR,stable
ADAL,RID,variable
ADAL,RIML,stable
ADAL,RIPL,developmentally dynamic (strengthened)
ADAL,RIPR,variable
ADAL,RMFL,post-embryonic brain integration
ADAL,SAADL,variable
ADAL,SAAVL,variable
ADAL,SDQR,post-embryonic brain integration
ADAL,SIBVL,variable
ADAL,SMDDL,variable
ADAL,SMDVR,variable
ADAL,URXL,variable
ADAR,ADER,variable
ADAR,AIAR,variable
ADAR,AIBL,variable
ADAR,AIBR,variable
ADAR,ASHR,variable
ADAR,AVAL,stable
ADAR,AVAR,stable
ADAR,AVBL,stable
ADAR,AVBR,stable
ADAR,AVDL,variable
ADAR,AVEL,variable
ADAR,AVER,variable
ADAR,AVJL,stable
ADAR,DVA,variable
ADAR,OLQVR,variable
ADAR,RICL,stable
ADAR,RICR,variable
ADAR,RIFR,variable
ADAR,RIMR,stable
ADAR,RIPR,developmentally dynamic (strengthened)
ADAR,RMFR,post-embryonic brain integration
ADAR,SAADR,variable
ADAR,SMDVL,variable
ADAR,URADR,variable
ADAR,URAVR,variable
ADAR,URXR,variable
ADEL,ADAL,stable
ADEL,ADEL,variable
ADEL,ADER,variable
ADEL,AINL,variable
ADEL,ALML,variable
ADEL,ALNL,post-embryonic brain integration
ADEL,AQR,post-embryonic brain integration
ADEL,ASJL,variable
ADEL,AVAL,variable
ADEL,AVAR,stable
ADEL,AVDL,variable
ADEL,AVDR,variable
ADEL,AVKL,variable
ADEL,AVKR,developmentally dynamic (strengthened)
ADEL,BDUL,variable
ADEL,CEPDL,developmentally dynamic (strengthened)
ADEL,CEPVL,variable
ADEL,CEPshDL,variable
ADEL,CEPshDR,variable
ADEL,CEPshVL,variable
ADEL,FLPL,variable
ADEL,FLPR,variable
ADEL,IL1L,developmentally dynamic (strengthened)
ADEL,IL2L,developmentally dynamic (strengthened)
ADEL,OLLL,developmentally dynamic (strengthened)
ADEL,PVCL,variable
ADEL,PVT,variable
ADEL,RIFL,variable
ADEL,RIGL,developmentally dynamic (strengthened)
ADEL,RIGR,developmentally dynamic (strengthened)
ADEL,RIH,variable
ADEL,RIS,variable
ADEL,RIVL,developmentally dynamic (strengthened)
ADEL,RIVR,developmentally dynamic (strengthened)
ADEL,RMDDR,variable
ADEL,RMDL,developmentally dynamic (strengthened)
ADEL,RMDR,variable
ADEL,RMER,variable
ADEL,RMFR,post-embryonic brain integration
ADEL,RMHR,post-embryonic brain integration
ADEL,SAADL,variable
ADEL,SAADR,variable
ADEL,SAAVL,variable
ADEL,SDQL,post-embryonic brain integration
ADEL,SIBVR,variable
ADEL,SMBDR,variable
ADEL,SMDDR,variable
ADEL,SMDVL,variable
ADEL,SMDVR,variable
ADEL,URBL,variable
ADER,ADAR,stable
ADER,ADEL,variable
ADER,AINR,variable
ADER,ALMR,variable
ADER,ALNR,post-embryonic brain integration
ADER,AQR,post-embryonic brain integration
ADER,AVAL,stable
ADER,AVAR,stable
ADER,AVBR,variable
ADER,AVDR,variable
ADER,AVER,variable
ADER,AVKL,developmentally dynamic (strengthened)
ADER,AVKR,variable
ADER,BWM-DR04,variable
ADER,BWM-VR04,variable
ADER,CEPDR,developmentally dynamic (strengthened)
ADER,CEPVR,variable
ADER,CEPshDR,variable
ADER,CEPshVL,variable
ADER,CEPshVR,variable
ADER,DVA,variable
ADER,DVC,variable
ADER,FLPL,variable
ADER,FLPR,variable
ADER,GLRR,variable
ADER,IL1R,developmentally dynamic (strengthened)
ADER,IL2R,developmentally dynamic (strengthened)
ADER,OLLR,developmentally dynamic (strengthened)
ADER,PVCR,variable
ADER,PVNR,post-embryonic brain integration
ADER,PVPL,variable
ADER,PVR,variable
ADER,PVT,variable
ADER,RIGL,developmentally dynamic (strengthened)
ADER,RIGR,developmentally dynamic (strengthened)
ADER,RIH,variable
ADER,RIVL,developmentally dynamic (strengthened)
ADER,RIVR,developmentally dynamic (strengthened)
ADER,RMDL,variable
ADER,RMDR,developmentally dynamic (strengthened)
ADER,RMFL,post-embryonic brain integration
ADER,RMFR,post-embryonic brain integration
ADER,RMGR,variable
ADER,RMHL,post-embryonic brain integration
ADER,SAADL,variable
ADER,SAAVL,variable
ADER,SDQR,post-embryonic brain integration
ADER,SIADL,variable
ADER,SIBDL,variable
ADER,SMBVR,variable
ADER,URBR,variable
ADFL,ADAL,variable
ADFL,ADFR,variable
ADFL,AFDL,variable
ADFL,AIAL,variable
ADFL,AIBL,variable
ADFL,AIBR,variable
ADFL,AIYL,variable
ADFL,AIZL,stable
ADFL,AIZR,stable
ADFL,ASER,variable
ADFL,ASHL,variable
ADFL,AUAL,stable
ADFL,AUAR,variable
ADFL,AVHR,variable
ADFL,AWBL,variable
ADFL,BAGR,variable
ADFL,OLQVL,variable
ADFL,PVQL,variable
ADFL,RIAL,stable
ADFL,RICR,variable
ADFL,RIGL,developmentally dynamic (strengthened)
ADFL,RIGR,variable
ADFL,RIMR,variable
ADFL,RIR,variable
ADFL,SIBDL,variable
ADFL,SIBVL,variable
ADFL,SMBDL,variable
ADFL,SMBVL,stable
ADFL,URXL,variable
ADFL,URYVL,variable
ADFR,ADFL,variable
ADFR,AFDR,variable
ADFR,AIAR,variable
ADFR,AIYR,variable
ADFR,AIZL,stable
ADFR,AIZR,stable
ADFR,ASEL,variable
ADFR,ASER,variable
ADFR,ASGR,variable
ADFR,AUAR,stable
ADFR,AVHL,variable
ADFR,AWAR,variable
ADFR,AWBR,variable
ADFR,DVA,variable
ADFR,OLQVR,variable
ADFR,RIAR,stable
ADFR,RIGR,developmentally dynamic (strengthened)
ADFR,RIH,variable
ADFR,RIR,variable
ADFR,SIBVR,variable
ADFR,SMBDR,variable
ADFR,SMBVR,stable
ADFR,URXL,variable
ADFR,URXR,variable
ADLL,ADAL,variable
ADLL,AIAL,stable
ADLL,AIAR,variable
ADLL,AIBL,stable
ADLL,ASEL,variable
ADLL,ASGL,variable
ADLL,ASHL,developmentally dynamic (strengthened)
ADLL,ASJL,variable
ADLL,ASKL,developmentally dynamic (weakened)
ADLL,AVAL,developmentally dynamic (strengthened)
ADLL,AVAR,variable
ADLL,AVBL,variable
ADLL,AVDL,stable
ADLL,AVDR,stable
ADLL,AVEL,variable
ADLL,AVHR,variable
ADLL,AVJL,stable
ADLL,AVJR,stable
ADLL,AWAL,variable
ADLL,AWBL,variable
ADLL,AWCL,stable
ADLL,AWCR,variable
ADLL,CEPshVL,variable
ADLL,HSNL,post-embryonic brain integration
ADLL,HSNR,post-embryonic brain integration
ADLL,OLLL,variable
ADLL,OLQVL,variable
ADLL,PVCL,variable
ADLL,PVNL,post-embryonic brain integration
ADLL,PVPL,variable
ADLL,PVQL,variable
ADLL,SIADR,variable
ADLL,SIBDR,variable
ADLL,SMBVL,variable
ADLR,ADAR,variable
ADLR,AIAR,stable
ADLR,AIBR,stable
ADLR,ASER,variable
ADLR,ASHR,developmentally dynamic (strengthened)
ADLR,ASKR,developmentally dynamic (weakened)
ADLR,AVAL,variable
ADLR,AVAR,developmentally dynamic (strengthened)
ADLR,AVBR,variable
ADLR,AVDL,stable
ADLR,AVDR,stable
ADLR,AVER,variable
ADLR,AVJL,stable
ADLR,AVJR,stable
ADLR,AWAR,variable
ADLR,AWBR,variable
ADLR,AWCR,stable
ADLR,CEPshVR,variable
ADLR,OLLR,variable
ADLR,OLQVR,variable
ADLR,PVCR,variable
ADLR,PVPR,variable
ADLR,SIBDL,variable
ADLR,SMBVR,variable
ADLR,URBR,variable
ADLR,URYVR,variable
AFDL,ADFL,variable
AFDL,AINR,variable
AFDL,AIYL,stable
AFDL,AIYR,variable
AFDL,AIZL,variable
AFDL,ASER,variable
AFDL,AWBL,variable
AFDL,BAGR,variable
AFDR,ADFR,variable
AFDR,AIBR,variable
AFDR,AIYL,variable
AFDR,AIYR,stable
AFDR,ASEL,variable
AFDR,ASER,variable
AFDR,AUAR,variable
AFDR,AWAR,variable
AFDR,AWCL,variable
AFDR,BAGL,variable
AIAL,ADAL,variable
AIAL,ADFL,variable
AIAL,ADLL,developmentally dynamic (strengthened)
AIAL,AIBL,stable
AIAL,AINR,variable
AIAL,AIYL,variable
AIAL,AIZL,variable
AIAL,ASEL,variable
AIAL,ASER,variable
AIAL,ASGL,variable
AIAL,ASHL,variable
AIAL,ASIL,variable
AIAL,ASKL,stable
AIAL,AWAL,variable
AIAL,AWBL,variable
AIAL,AWCL,stable
AIAL,AWCR,stable
AIAL,PVQL,variable
AIAL,RIFL,stable
AIAR,ADAR,variable
AIAR,ADFR,variable
AIAR,ADLR,developmentally dynamic (strengthened)
AIAR,AIBR,stable
AIAR,AIZR,variable
AIAR,ASER,variable
AIAR,ASGR,variable
AIAR,ASHR,variable
AIAR,ASIL,variable
AIAR,ASIR,variable
AIAR,ASKR,stable
AIAR,AWCL,stable
AIAR,AWCR,stable
AIAR,HSNL,post-embryonic brain integration
AIAR,PVQR,variable
AIAR,RIFL,variable
AIAR,RIFR,stable
AIBL,ADAR,variable
AIBL,ADLL,variable
AIBL,AIAL,variable
AIBL,AIBR,variable
AIBL,AIYL,variable
AIBL,AUAL,variable
AIBL,AUAR,developmentally dynamic (strengthened)
AIBL,AVAL,developmentally dynamic (strengthened)
AIBL,AVAR,variable
AIBL,AVBL,stable
AIBL,AVEL,variable
AIBL,AVER,variable
AIBL,BAGL,variable
AIBL,RIBL,variable
AIBL,RIBR,stable
AIBL,RIGR,variable
AIBL,RIML,stable
AIBL,RIMR,stable
AIBL,RIVL,variable
AIBL,RMFR,post-embryonic brain integration
AIBL,SAADL,stable
AIBL,SAADR,stable
AIBL,SAAVL,developmentally dynamic (strengthened)
AIBL,SIADR,variable
AIBL,SIBVL,variable
AIBL,SMDDR,stable
AIBL,SMDVR,stable
AIBR,ADAL,variable
AIBR,AIZL,variable
AIBR,AQR,post-embryonic brain integration
AIBR,AUAL,developmentally dynamic (strengthened)
AIBR,AVAL,variable
AIBR,AVAR,developmentally dynamic (strengthened)
AIBR,AVBR,stable
AIBR,AVEL,variable
AIBR,AVER,variable
AIBR,AVKL,variable
AIBR,BAGR,variable
AIBR,DVA,variable
AIBR,DVC,variable
AIBR,PVPL,variable
AIBR,RIAL,variable
AIBR,RIBL,stable
AIBR,RIBR,variable
AIBR,RIGL,variable
AIBR,RIML,stable
AIBR,RIMR,stable
AIBR,RIVR,variable
AIBR,RMEV,variable
AIBR,RMFL,post-embryonic brain integration
AIBR,RMFR,post-embryonic brain integration
AIBR,SAADL,stable
AIBR,SAADR,stable
AIBR,SAAVR,developmentally dynamic (strengthened)
AIBR,SIADL,variable
AIBR,SIBVR,variable
AIBR,SMBDL,variable
AIBR,SMDDL,stable
AIBR,SMDVL,stable
AIML,ADAL,variable
AIML,AIAL,stable
AIML,AIMR,variable
AIML,AIZL,developmentally dynamic (strengthened)
AIML,ALML,variable
AIML,ASGL,stable
AIML,ASHL,variable
AIML,ASIL,variable
AIML,ASJL,variable
AIML,ASKL,stable
AIML,AVAL,variable
AIML,AVBL,variable
AIML,AVDL,variable
AIML,AVEL,variable
AIML,AVFL,post-embryonic brain integration
AIML,AVFR,post-embryonic brain integration
AIML,AVJL,variable
AIML,AWBL,variable
AIML,CEPVL,variable
AIML,CEPshDL,developmentally dynamic (strengthened)
AIML,CEPshDR,variable
AIML,CEPshVL,variable
AIML,HSNL,post-embryonic brain integration
AIML,PVNL,post-embryonic brain integration
AIML,PVQL,variable
AIML,RID,variable
AIML,RIFL,developmentally dynamic (strengthened)
AIML,RMGL,variable
AIML,SDQL,post-embryonic brain integration
AIML,SIADR,variable
AIML,SMBDR,variable
