dataset,pre,post,syn_id,sections,size,post_is_branch
Dataset1,ADAL,AVAR,6942483,4.0,146308,no
Dataset1,ADAL,RICR,6942483,4.0,228091,no
Dataset1,ADAL,AVBL,6945166,3.0,118363,no
Dataset1,ADAL,AVAL,6945166,3.0,123187,yes
Dataset1,ADAL,AVJR,6945166,3.0,72368,no
Dataset1,ADAL,AVBL,7006824,2.0,273911,no
Dataset1,ADAL,AVJR,7006824,2.0,56808,no
Dataset1,ADAL,AVBL,6968577,2.0,15684,no
Dataset1,ADAL,AVJR,6968577,2.0,36050,no
Dataset1,ADAL,AVDR,6968577,2.0,48105,no
Dataset1,ADAL,RIML,6989455,3.0,141715,no
Dataset1,ADAL,AIBR,6989455,3.0,29644,yes
Dataset1,ADAR,AVAL,7013716,3.0,67128,no
Dataset1,ADAR,RICL,7013716,3.0,159431,no
Dataset1,ADAR,AVBL,7033560,6.0,225274,no
Dataset1,ADAR,RIMR,7033560,6.0,158425,no
Dataset1,ADAR,AIBL,7033560,6.0,73260,no
Dataset1,ADAR,AVDL,7027663,3.0,126640,no
Dataset1,ADAR,AVBR,7027663,3.0,292399,no
Dataset1,ADEL,AVAR,7049059,3.0,137099,no
Dataset1,ADEL,ADAL,7049059,3.0,53940,no
Dataset1,ADEL,AVAR,7049057,2.0,44298,no
Dataset1,ADEL,AVDR,7049057,2.0,16128,no
Dataset1,ADEL,FLPR,7049057,2.0,47093,no
Dataset1,ADER,PVCR,7049063,3.0,25705,no
Dataset1,ADER,RIGL,7049063,3.0,82745,no
Dataset1,ADER,RIGR,7049063,3.0,135869,no
Dataset1,ADFL,AIYL,7049072,3.0,191548,no
Dataset1,ADFL,ASER,7049072,3.0,113731,no
Dataset1,ADFL,AIZL,7049088,2.0,286470,no
Dataset1,ADFL,AUAL,7049088,2.0,14489,no
Dataset1,ADFL,AIZL,7049083,3.0,117571,no
Dataset1,ADFL,AVHR,7049083,3.0,83548,no
Dataset1,ADFL,AIZL,7049086,4.0,145122,no
Dataset1,ADFL,RIAL,7049086,4.0,168317,no
Dataset1,ADFL,RIAL,7049087,4.0,74195,no
Dataset1,ADFL,AUAL,7049087,4.0,84204,no
Dataset1,ADFR,AIZR,7049104,1.0,56640,no
Dataset1,ADFR,AIZR,7049099,3.0,58568,no
Dataset1,ADFR,AIAR,7049099,3.0,78919,no
Dataset1,ADFR,ASER,7049099,3.0,102991,no
Dataset1,ADFR,AIZR,7049095,2.0,124587,no
Dataset1,ADFR,AUAR,7049095,2.0,9812,no
Dataset1,ADFR,AIZR,7049102,2.0,173057,no
Dataset1,ADFR,AUAR,7049102,2.0,19422,no
Dataset1,ADFR,AIZR,7049094,3.0,71279,no
Dataset1,ADFR,URXR,7049094,3.0,348240,no
Dataset1,ADFR,RIAR,7049093,6.0,56630,no
Dataset1,ADFR,AIZR,7049093,6.0,211209,no
Dataset1,ADFR,RIAR,7049105,8.0,153192,no
Dataset1,ADFR,AIZR,7049105,8.0,160727,no
Dataset1,ADLL,ASKL,7050062,2.0,320640,no
Dataset1,ADLL,ASKL,7050060,8.0,91001,no
Dataset1,ADLL,AIAL,7050060,8.0,353425,no
Dataset1,ADLL,AWCL,7050060,8.0,229973,no
Dataset1,ADLL,ASKL,7050059,1.0,19181,no
Dataset1,ADLL,AIBL,7050059,1.0,38898,no
Dataset1,ADLL,ASKL,7050085,2.0,53360,no
Dataset1,ADLL,AIBL,7050085,2.0,94307,no
Dataset1,ADLL,AWCL,7050085,2.0,37611,no
Dataset1,ADLL,ASKL,7050052,4.0,26343,no
Dataset1,ADLL,PVQL,7050052,4.0,393656,no
Dataset1,ADLR,AIAR,7050092,6.0,333483,no
Dataset1,ADLR,AWCR,7050092,6.0,156596,no
Dataset1,ADLR,AIAR,7050088,3.0,22492,no
Dataset1,ADLR,CEPshVR,7050088,3.0,39907,unknown
Dataset1,ADLR,AIBR,7050093,2.0,86492,no
Dataset1,ADLR,AIAR,7050093,2.0,42631,no
Dataset1,ADLR,ADAR,7050093,2.0,16315,yes
Dataset1,ADLR,AIBR,7050086,4.0,155369,no
Dataset1,ADLR,ASKR,7050086,4.0,100950,no
Dataset1,ADLR,AIBR,7050087,4.0,157044,no
Dataset1,ADLR,ASKR,7050087,4.0,252888,no
Dataset1,ADLR,ASER,7050087,4.0,156467,no
Dataset1,ADLR,ASKR,7050094,3.0,190080,no
Dataset1,AFDL,AIYL,7050113,3.0,231840,no
Dataset1,AFDL,AIYL,7050115,4.0,438720,no
Dataset1,AFDL,AIYL,7050117,3.0,223845,no
Dataset1,AFDL,ADFL,7050117,3.0,19994,no
Dataset1,AFDR,AIYR,7050112,2.0,186240,no
Dataset1,AFDR,AIYR,7050122,4.0,273120,no
Dataset1,AFDR,AIYR,7050123,2.0,55680,no
Dataset1,AIAL,AIBL,7050131,2.0,55415,no
Dataset1,AIAL,AWBL,7050131,2.0,23784,no
Dataset1,AIAL,ASKL,7050129,3.0,37457,no
Dataset1,AIAL,AIBL,7050129,3.0,189102,no
Dataset1,AIAL,AWCR,7050138,3.0,39466,no
Dataset1,AIAL,ASER,7050138,3.0,91573,no
Dataset1,AIAL,RIFL,7050127,8.0,151860,no
Dataset1,AIAL,ASKL,7050127,8.0,45618,no
Dataset1,AIAL,AIBL,7050127,8.0,401560,no
Dataset1,AIAR,AIBR,7050144,2.0,109944,no
Dataset1,AIAR,ASKR,7050144,2.0,48935,no
Dataset1,AIAR,ASHR,7050128,4.0,13794,no
Dataset1,AIAR,AIBR,7050128,4.0,165533,no
Dataset1,AIAR,RIFR,7050128,4.0,118752,no
Dataset1,AIAR,ASKR,7050155,3.0,84000,no
Dataset1,AIBL,AVEL,7050231,4.0,48993,no
Dataset1,AIBL,RIMR,7050231,4.0,83842,no
Dataset1,AIBL,AVBL,7050231,4.0,23164,no
Dataset1,AIBL,RIBR,7050191,2.0,148800,no
